venta_id,fecha,departamento_id,linea_negocio,ingresos,costo,meta_ingresos
V000080,2025-01-15,2,B2C,3608.93,2789.67,4262.62
V000081,2024-03-16,4,Partners,3954.72,2354.72,3650.69
V000082,2025-02-22,1,B2C,6925.51,5476.25,7037.81
V000083,2024-03-13,1,B2B,11320.43,8153.17,12836.96
V000084,2024-01-20,2,B2C,3039.84,1974.87,3390.09
V000085,2024-08-12,1,Canal Digital,4945.63,2850.66,5284.78
V000086,2024-03-25,1,B2B,2396.3,1947.59,2493.45
V000087,2024-12-04,5,B2B,5247.32,3025.09,4888.18
V000088,2025-03-19,4,B2B,5105.98,3065.14,6073.31
V000089,2025-05-08,1,Partners,4196.96,2457.17,4389.55
V000090,2024-02-08,2,B2C,3691.2,2847.36,4156.85
V000091,2025-06-30,2,Canal Digital,6454.99,5108.68,6614.84
V000092,2024-04-29,1,B2C,11472.62,8485.82,11852.11
V000093,2025-09-22,1,Partners,2759.86,1976.2,3023.04
V000094,2024-05-12,1,B2B,2965.39,2328.75,3004.78
V000095,2025-10-15,1,B2C,2017.72,1538.28,1842.84
V000096,2024-07-04,1,Partners,3011.18,2112.84,3532.96
V000097,2024-11-17,4,B2C,7350.27,4767.78,7084.19
V000098,2024-03-31,4,B2B,5087.7,3903.75,5635.62
V000099,2025-09-22,5,B2C,5351.33,4388.66,6005.16
V000100,2025-10-22,3,B2B,1407.92,1105.13,1339.35
V000101,2024-12-28,1,B2C,6271.52,4796.82,6176.6
V000102,2024-05-25,2,B2B,7523.21,4876.42,7285.07
V000103,2025-01-02,4,Canal Digital,4165.8,3228.17,4332.99
V000104,2025-04-10,3,Partners,2372.33,1652.0,2523.61
V000105,2025-03-22,4,B2B,5961.78,4804.16,6080.0
V000106,2025-10-06,1,B2C,3274.6,2270.86,3730.04
V000107,2025-10-23,1,Canal Digital,8209.76,4743.33,9223.21
V000108,2025-04-10,5,Partners,6868.1,5715.71,6272.31
V000109,2025-06-02,2,Partners,5701.09,3341.06,6179.42
V000110,2024-11-10,4,Partners,3503.47,2869.86,4132.89
V000111,2025-07-31,2,Canal Digital,1875.45,1067.46,1980.32
V000112,2024-06-16,1,B2B,8548.05,5255.56,7712.57
V000113,2024-04-10,3,B2C,7267.64,4320.99,8352.02
V000114,2024-09-18,2,Canal Digital,5608.12,4083.99,6681.31
V000115,2025-08-26,1,B2B,6744.57,5050.95,7232.55
V000116,2025-08-28,4,B2C,2558.77,2116.62,2689.88
V000117,2024-09-09,5,B2B,7158.91,5827.97,6750.05
V000118,2024-06-27,4,B2C,4843.62,3761.89,5129.38
V000119,2025-09-29,3,B2B,8323.43,4954.47,9979.57
V000120,2025-09-15,4,B2B,7667.25,4767.33,7528.46
V000121,2025-12-28,4,B2C,5503.71,4303.32,6062.97
V000122,2024-01-11,1,Canal Digital,6038.43,4091.07,6684.4
V000123,2024-03-05,4,Canal Digital,7626.12,5987.41,8279.62
V000124,2024-07-27,1,B2B,8988.31,6442.74,8728.81
V000125,2024-08-03,1,Partners,3591.6,2465.09,4097.04
V000126,2025-07-09,3,B2B,5135.11,2887.05,5080.94
V000127,2024-05-20,1,B2B,10145.17,7029.57,11810.34
V000128,2025-05-21,3,Canal Digital,6180.48,4052.4,6173.91
V000129,2025-06-30,5,B2B,8142.17,6363.75,9429.57
V000130,2024-05-12,3,B2B,4372.09,2557.49,4608.74
V000131,2025-02-22,1,B2B,7315.25,4654.44,8557.81
V000132,2024-06-05,1,B2B,5210.92,4300.42,5886.82
V000133,2024-12-09,4,B2B,3038.36,2467.7,3314.06
V000134,2025-06-13,3,B2C,9461.23,7943.8,9245.92
V000135,2024-08-29,2,B2C,7129.93,4503.7,6634.79
V000136,2024-06-21,1,Partners,3405.05,2670.05,3753.46
V000137,2024-08-13,1,B2C,7658.66,5450.62,8872.69
V000138,2024-02-05,1,Canal Digital,5661.08,3728.43,6296.54
V000139,2025-03-26,2,Canal Digital,16210.12,11419.68,17180.66
V000140,2025-10-21,1,Partners,13028.75,9395.64,12757.79
V000141,2025-02-07,4,B2B,6530.1,4290.92,6065.38
V000142,2025-11-19,1,B2C,5284.1,3432.23,5635.67
V000143,2025-05-20,1,B2C,6667.54,5184.28,7251.78
V000144,2025-09-11,2,Partners,2054.56,1582.4,1888.25
V000145,2025-05-13,2,Partners,7045.09,4973.76,8088.89
V000146,2025-03-11,2,Canal Digital,4071.09,2566.57,3756.25
V000147,2024-01-16,1,B2C,7721.06,5321.81,7653.62
V000148,2024-02-02,2,Canal Digital,3895.7,2860.24,4393.8
V000149,2024-06-01,4,B2C,5393.17,3773.07,4928.03
V000150,2025-07-09,4,B2B,9086.28,6251.91,10177.42
V000151,2025-12-28,4,B2B,5780.71,3341.26,6070.59
V000152,2025-08-08,2,B2C,1922.27,1535.13,1824.55
V000153,2024-09-20,3,B2B,2891.97,2170.15,3379.62
V000154,2024-05-21,2,Canal Digital,9359.73,7845.16,8844.28
V000155,2024-03-17,2,Canal Digital,2374.04,1474.85,2377.4
V000156,2025-05-26,5,Partners,6490.52,4165.6,7662.36
V000157,2024-05-05,2,B2C,4190.27,3497.26,4181.94
V000158,2025-05-08,3,B2B,2066.77,1341.23,2460.83
V000159,2024-04-24,2,B2C,10081.57,7656.6,11190.54
V000160,2024-07-04,3,Partners,7908.13,5113.98,8385.32
V000161,2024-02-12,2,Canal Digital,3898.41,2471.5,4600.69
V000162,2024-02-12,1,B2C,3785.87,2219.26,3720.72
V000163,2024-01-18,1,B2C,8994.46,5976.21,10137.43
V000164,2025-01-18,3,B2B,7733.29,4758.03,7299.69
V000165,2025-04-05,2,B2C,1387.71,829.45,1540.85
V000166,2025-09-22,4,Partners,6021.28,5059.57,6829.73
V000167,2025-04-04,1,Partners,4459.56,3196.41,4255.0
V000168,2025-12-26,1,B2C,5102.18,3871.04,4623.46
V000169,2024-08-29,3,B2C,7225.95,4238.35,6627.55
V000170,2025-05-19,3,B2C,3594.39,2663.51,3612.72
V000171,2025-12-22,3,Canal Digital,3450.07,2339.61,4077.74
V000172,2024-04-01,4,B2B,5137.74,3599.26,4752.13
V000173,2024-11-08,1,B2C,6643.34,4639.25,6151.18
V000174,2025-11-09,5,Partners,11989.52,7231.97,12388.22
V000175,2024-09-09,4,B2B,574.71,457.19,686.92
V000176,2025-01-20,4,Partners,8816.24,5158.25,8416.55
V000177,2024-10-13,4,B2C,4931.51,3072.67,4956.15
V000178,2025-09-24,1,Partners,531.46,311.46,539.25
V000179,2024-04-24,4,Partners,2736.95,2230.85,2464.6
V000180,2024-10-29,5,B2C,7586.61,5865.92,9062.4
V000181,2025-01-02,5,Partners,8876.33,5289.41,8997.81
V000182,2024-02-17,4,Partners,5027.66,4168.2,5482.02
V000183,2024-12-11,4,Canal Digital,10774.24,6612.43,11771.67
V000184,2024-02-29,1,B2B,4611.51,3410.05,4703.46
V000185,2025-08-19,1,Canal Digital,5733.33,3335.85,5495.91
V000186,2024-11-09,2,Canal Digital,2079.97,1424.17,2442.18
V000187,2024-10-10,4,Partners,3324.27,2745.21,3240.62
V000188,2024-09-17,2,B2B,6828.3,5659.68,7524.69
V000189,2024-01-06,2,B2C,7393.95,4780.34,8382.17
V000190,2025-12-06,3,B2C,9149.14,6040.29,8697.54
V000191,2025-03-02,1,Partners,2543.6,1465.35,2766.88
V000192,2024-04-18,2,B2B,3982.48,2948.58,3613.95
V000193,2025-04-14,1,B2C,6690.4,4209.43,6028.71
V000194,2024-09-06,1,Canal Digital,720.85,550.15,757.49
V000195,2024-09-02,1,B2B,3359.78,2196.02,3033.02
V000196,2024-08-14,4,B2C,6231.35,3611.98,5767.64
V000197,2024-01-01,5,B2B,3422.94,1953.46,3684.98
V000198,2024-09-20,4,B2B,7363.25,4597.0,8542.33
V000199,2025-12-06,5,B2C,9017.77,7571.27,9669.48
V000200,2024-06-25,2,B2B,3720.9,2594.52,3441.61
V000201,2025-10-01,2,B2C,11036.49,7302.28,13150.47
V000202,2024-07-25,5,B2B,10503.05,6986.35,12041.69
V000203,2025-11-20,1,B2C,3335.46,2420.49,3992.39
V000204,2025-12-07,1,B2B,7366.65,5417.77,7866.0
V000205,2025-08-01,2,B2C,6993.69,3943.03,6793.77
V000206,2024-05-02,4,Canal Digital,8468.89,5455.8,9710.07
V000207,2024-09-03,2,B2B,4153.6,2924.26,4536.44
V000208,2025-07-01,2,Canal Digital,7276.6,4098.54,8637.07
V000209,2025-05-06,3,Canal Digital,4267.65,2695.88,4179.8
V000210,2024-05-18,2,B2B,2830.22,2036.7,3388.04
V000211,2025-07-09,3,Canal Digital,5634.86,3927.61,6528.68
V000212,2025-07-14,1,B2C,3437.0,2434.24,3574.37
V000213,2024-09-13,1,B2C,9667.35,7388.1,10272.0
V000214,2025-04-16,3,B2B,10795.55,8564.45,12374.44
V000215,2025-09-24,3,Partners,649.47,449.84,718.78
V000216,2024-01-25,3,B2C,1561.54,889.73,1835.6
V000217,2025-10-31,3,B2C,3871.58,2739.75,4533.17
V000218,2025-05-02,1,Partners,4408.78,2562.69,4936.95
V000219,2024-02-15,3,Canal Digital,3313.32,2711.36,3087.4
V000220,2025-08-13,1,B2C,10878.28,8709.71,10554.57
V000221,2025-02-08,1,B2B,5214.87,3486.0,4909.35
V000222,2025-01-19,2,B2C,5277.87,3875.71,5583.37
V000223,2024-07-12,4,B2B,6747.56,4529.34,7780.67
V000224,2025-04-23,2,B2C,5194.32,3628.75,5024.03
V000225,2025-02-16,2,Partners,4807.56,2740.68,5165.65
V000226,2024-09-18,3,B2C,6899.63,4672.61,6988.01
V000227,2024-06-25,2,Partners,6830.48,5805.9,7238.14
V000228,2024-08-21,2,B2C,5136.14,3310.07,5850.78
V000229,2025-07-29,5,B2C,5183.49,3492.04,4904.69
V000230,2024-02-28,2,Partners,11243.64,6409.13,11846.83
V000231,2025-11-06,3,B2C,5946.49,4739.05,5704.65
V000232,2024-01-14,1,Partners,2663.85,2068.57,3102.44
V000233,2024-03-19,4,B2C,2805.54,2370.12,3002.27
V000234,2025-09-01,2,Partners,7114.41,5971.5,6428.78
V000235,2024-02-06,3,B2B,3624.08,2041.8,3670.37
V000236,2025-05-22,3,B2B,2959.77,1765.45,3122.08
V000237,2024-02-21,4,Canal Digital,9124.5,7547.34,8564.39
V000238,2025-07-09,1,B2C,4350.01,2574.69,4724.41
V000239,2024-09-05,1,B2B,3665.94,3091.29,3467.72
V000240,2024-12-16,5,Canal Digital,9180.43,7315.07,9265.83
V000241,2025-02-12,2,Partners,3100.8,2081.78,3266.53
V000242,2025-10-28,4,Partners,11555.97,9724.4,12403.23
V000243,2024-01-31,2,B2C,8247.77,5957.9,8581.24
V000244,2025-05-30,1,B2B,4732.64,2730.13,5058.5
V000245,2025-07-12,4,B2C,7828.97,5802.65,9002.68
V000246,2025-01-14,2,B2B,13080.07,9965.97,14587.3
V000247,2024-07-27,2,Partners,9389.27,6223.07,9829.99
V000248,2024-08-15,3,B2B,3262.88,2044.51,3488.99
V000249,2025-09-20,3,B2C,8490.24,6564.84,8362.42
V000250,2024-11-19,4,B2C,11403.86,9146.8,10485.96
V000251,2025-10-28,3,B2C,1788.38,1428.8,1633.41
V000252,2024-12-01,1,B2B,5072.69,3593.28,6076.45
V000253,2025-11-04,3,B2C,10327.28,8768.69,11187.11
V000254,2024-08-26,1,B2B,6088.01,4637.12,6290.38
V000255,2025-10-01,4,Canal Digital,9905.02,8122.85,9314.74
V000256,2024-01-30,5,B2B,3571.3,2837.05,4073.1
V000257,2024-05-12,4,B2C,3526.08,2154.66,3295.5
V000258,2025-03-15,2,Canal Digital,13453.34,8151.99,15886.96
V000259,2024-05-31,2,B2B,10315.45,8667.33,10675.31
V000260,2025-12-18,4,B2C,3556.13,2055.13,3952.78
V000261,2025-01-03,1,Canal Digital,10152.88,6233.8,10150.37
V000262,2025-09-20,4,Partners,2604.69,1707.21,2479.06
V000263,2025-06-11,1,B2C,8623.91,4844.51,10144.83
V000264,2025-03-14,2,B2B,2602.13,1576.1,2961.01
V000265,2025-11-29,1,B2B,4607.23,3601.02,4399.21
V000266,2025-02-05,2,Canal Digital,4388.89,3082.35,5014.86
V000267,2025-08-04,3,Canal Digital,4573.47,3395.9,4749.58
V000268,2025-11-11,5,Canal Digital,1057.88,804.4,1029.48
V000269,2025-05-04,2,B2C,13381.7,8512.53,13769.81
V000270,2024-08-22,1,B2C,6325.58,4731.94,7513.76
V000271,2025-06-18,1,Canal Digital,9547.62,8043.87,10382.22
V000272,2025-01-01,3,Partners,5215.44,4202.96,4878.55
V000273,2025-11-07,3,B2B,11130.67,6666.04,12311.47
V000274,2025-02-19,3,Partners,1617.96,1001.99,1880.63
V000275,2025-11-30,3,Canal Digital,9774.88,5723.63,10975.33
V000276,2024-02-20,3,B2C,8053.77,6248.24,9596.33
V000277,2025-05-01,3,B2C,1827.52,1070.85,1838.57
V000278,2025-09-11,4,B2C,11122.32,6926.09,11496.8
V000279,2024-08-12,3,Canal Digital,2643.13,1778.8,2699.2
V000280,2024-03-30,5,B2B,3661.18,2186.5,3532.76
V000281,2025-03-27,3,B2C,4433.41,3599.54,5272.32
V000282,2025-04-07,3,B2C,6137.91,3827.79,7267.97
V000283,2025-10-31,1,Canal Digital,5089.74,3377.43,5841.27
V000284,2024-07-16,4,B2C,3626.32,2867.28,3801.67
V000285,2024-02-21,4,Partners,3461.41,2701.79,3654.3
V000286,2025-03-14,2,B2C,7597.23,4481.68,8575.7
V000287,2024-07-01,1,B2C,8073.23,5552.97,8445.92
V000288,2024-09-30,1,Canal Digital,6441.01,4386.07,6038.28
V000289,2024-08-16,1,Partners,4033.17,3138.81,4320.12
V000290,2025-03-19,3,Canal Digital,4130.28,2455.97,3828.58
V000291,2025-06-04,2,Partners,7750.67,6221.07,8359.35
V000292,2025-11-19,2,Partners,5697.79,4451.07,5646.47
V000293,2024-07-01,4,B2B,3852.02,2220.58,3694.74
V000294,2024-04-13,4,B2B,6836.47,4196.23,7695.47
V000295,2024-07-31,2,B2B,7055.2,4035.7,7459.25
V000296,2024-02-29,1,Canal Digital,5236.63,3646.28,5018.19
V000297,2024-11-18,1,Canal Digital,2275.96,1545.06,2656.58
V000298,2025-12-24,3,B2B,6435.06,5401.25,6767.16
V000299,2024-05-06,1,B2C,4081.02,2940.82,4698.91
V000300,2024-06-06,3,B2C,6478.34,4236.85,6549.13
V000301,2024-03-16,2,B2C,3248.78,2677.51,3867.67
V000302,2025-01-02,3,Partners,5524.71,3673.64,5969.35
V000303,2024-09-01,4,Canal Digital,9841.21,7905.41,10732.61
V000304,2024-07-05,2,B2C,7398.52,5686.46,8803.97
V000305,2024-06-08,1,B2C,6211.84,3759.48,7085.7
V000306,2024-02-28,5,B2C,14961.08,12243.71,15204.75
V000307,2024-12-20,2,B2C,4457.29,3027.71,5147.84
V000308,2025-01-21,2,B2B,6118.41,4638.01,5875.94
V000309,2024-11-04,2,Canal Digital,4250.51,3196.36,3885.86
V000310,2025-08-17,3,Canal Digital,13669.16,9121.18,15947.14
V000311,2024-11-17,1,B2C,5656.51,4689.67,5422.87
V000312,2024-09-02,2,B2B,9917.27,5815.98,10077.14
V000313,2024-03-06,1,Partners,5151.66,3706.18,5310.16
V000314,2024-01-29,3,B2B,2143.29,1742.65,2166.58
V000315,2024-02-22,4,B2B,7731.26,6023.77,9275.03
V000316,2025-05-01,5,B2B,1639.09,1015.62,1953.7
V000317,2024-12-04,3,Partners,3650.79,2938.88,3934.49
V000318,2024-07-09,2,Canal Digital,2008.41,1648.69,2218.3
V000319,2025-08-12,4,Partners,4705.36,2824.68,4409.77
V000320,2025-02-18,1,Partners,3740.83,3038.1,4144.98
V000321,2024-04-12,1,Partners,7555.6,5534.91,8436.05
V000322,2024-04-22,1,Canal Digital,6126.22,4572.83,6945.16
V000323,2025-12-02,1,Canal Digital,3971.23,3317.05,3721.48
V000324,2025-12-05,1,B2C,7567.44,4730.24,8000.93
V000325,2025-11-24,4,B2B,8361.6,7043.92,8683.04
V000326,2025-04-16,2,Partners,4545.91,2751.21,4889.2
V000327,2025-11-13,1,Partners,5823.43,3551.53,5518.08
V000328,2025-07-28,2,B2B,5401.8,4014.58,5343.89
V000329,2025-06-08,1,B2B,7296.1,5074.45,7929.02
V000330,2024-12-30,1,B2C,7334.29,5840.53,7824.45
V000331,2025-02-10,1,B2B,5877.79,4759.86,5903.91
V000332,2024-12-25,4,Canal Digital,2273.15,1863.94,2388.56
V000333,2025-01-23,2,B2C,5821.61,4306.64,6198.88
V000334,2024-10-17,4,Partners,6062.77,4653.8,6875.74
V000335,2025-12-24,1,B2B,6207.4,3783.5,6195.57
V000336,2025-05-14,2,B2C,4500.75,3762.47,4646.07
V000337,2025-01-15,5,B2B,3239.51,2275.88,3220.53
V000338,2025-11-15,2,B2C,8917.04,7506.76,10375.95
V000339,2025-10-28,4,Canal Digital,8878.17,6440.41,8935.85
V000340,2024-05-25,4,B2C,13971.19,7873.79,14165.75
V000341,2025-06-28,2,Partners,2418.06,1846.78,2502.03
V000342,2024-04-21,3,B2C,3754.36,2653.03,4073.95
V000343,2025-10-21,5,Partners,4935.07,4082.17,4447.19
V000344,2024-10-11,1,B2B,4955.41,4171.21,4941.85
V000345,2025-12-29,4,B2B,5569.1,3282.54,5457.12
V000346,2024-08-13,4,B2C,4218.98,3303.79,5033.78
V000347,2024-07-15,1,B2B,4925.31,4160.82,5511.21
V000348,2025-10-08,1,Canal Digital,4740.6,3137.47,5094.92
V000349,2025-02-16,2,Partners,6991.56,4664.39,7325.46
V000350,2025-02-21,3,B2B,2954.99,2030.92,3138.12
V000351,2025-03-05,2,B2B,8360.13,5083.65,9437.7
V000352,2025-04-11,2,B2B,1473.83,1022.63,1724.44
V000353,2024-09-03,1,B2C,5395.3,3492.69,5554.48
V000354,2024-03-26,1,B2C,9901.73,8346.6,11791.86
V000355,2025-07-07,2,Partners,6128.44,4350.48,7224.0
V000356,2024-03-09,2,B2B,5586.97,3784.9,5509.59
V000357,2025-02-25,5,Canal Digital,4662.31,3271.54,5449.54
V000358,2025-07-21,1,Partners,5860.43,3824.81,6323.84
V000359,2025-02-26,3,B2B,6069.45,3818.68,6689.23
V000360,2025-09-05,1,B2B,8763.75,5164.36,9446.4
V000361,2024-02-28,2,Canal Digital,2827.05,2160.25,3293.22
V000362,2024-08-04,4,Partners,9826.2,6690.96,9291.15
V000363,2024-08-01,1,B2B,8440.96,5597.28,8681.78
V000364,2024-08-26,1,B2B,2525.35,1798.75,2491.56
V000365,2025-12-22,1,B2B,4581.85,2837.7,4295.38
V000366,2024-08-26,2,Canal Digital,5490.62,3963.86,5789.83
V000367,2024-01-18,3,B2C,13702.45,8755.85,16126.56
V000368,2025-10-30,5,B2B,3323.04,2424.66,2991.51
V000369,2024-01-13,1,Partners,5983.83,3769.15,5424.43
V000370,2024-11-23,3,B2C,4044.91,2715.8,3749.23
V000371,2025-06-04,1,Partners,11827.36,9721.81,12999.53
V000372,2024-02-29,2,Canal Digital,1805.05,1262.41,1990.38
V000373,2025-01-24,1,Partners,4312.57,2809.3,4368.84
V000374,2024-05-13,4,Canal Digital,7396.74,4746.64,7060.42
V000375,2024-09-08,2,B2B,3179.77,1978.02,3528.05
V000376,2025-01-24,3,B2B,4495.64,3133.58,5019.71
V000377,2024-04-16,2,B2C,9059.72,5088.65,8667.72
V000378,2024-10-08,2,B2C,3366.9,2599.53,3062.43
V000379,2025-04-25,3,B2B,7482.86,4945.24,6813.02
V000380,2024-06-24,1,B2B,8829.05,6421.76,9769.35
V000381,2024-07-28,4,B2B,601.01,420.38,646.7
V000382,2025-02-19,4,B2B,13891.85,10854.6,16407.03
V000383,2025-06-27,2,B2C,8374.44,6538.47,8224.41
V000384,2024-04-04,2,Canal Digital,4057.25,2419.04,4109.42
V000385,2025-11-29,4,B2B,8670.57,7196.5,9872.61
V000386,2024-12-14,4,B2C,4584.28,3596.45,4528.3
V000387,2024-03-13,4,Canal Digital,5574.3,3830.97,5328.31
V000388,2025-09-02,4,B2B,5641.24,4720.05,6675.91
V000389,2025-09-16,4,Partners,4472.8,3221.26,4661.88
V000390,2025-06-09,3,Partners,3140.29,1927.06,3106.61
V000391,2025-03-16,1,Canal Digital,4898.01,3309.71,4556.49
V000392,2024-11-15,5,Partners,6821.29,5248.95,6313.69
V000393,2024-08-19,1,B2B,3904.24,2980.56,4067.79
V000394,2025-06-10,1,B2C,4288.85,3401.52,4448.76
V000395,2024-01-09,2,Canal Digital,9448.62,5843.9,11336.56
V000396,2024-09-01,1,Canal Digital,5525.41,4105.59,6252.38
V000397,2024-02-04,1,B2C,5435.5,3539.4,5483.88
V000398,2025-04-24,5,B2C,4662.25,3754.94,4823.54
V000399,2025-06-01,1,B2B,6350.54,4873.22,7579.18
V000400,2024-08-16,3,Canal Digital,5127.4,3588.21,4643.66
V000401,2025-01-26,4,B2B,3428.29,2493.76,3206.9
V000402,2025-05-16,1,B2C,7262.56,5729.89,7578.58
V000403,2024-04-18,3,Canal Digital,6337.6,5299.79,7491.7
V000404,2024-01-06,3,B2B,7417.04,4350.43,7923.0
V000405,2025-09-23,4,B2B,4457.78,3142.95,4686.49
V000406,2025-05-26,1,Partners,10754.15,8902.67,11583.46
V000407,2024-12-08,3,B2C,5134.16,3620.48,5945.36
V000408,2025-03-14,3,Canal Digital,13009.01,9281.51,14185.62
V000409,2025-10-15,3,B2C,4165.01,3160.52,4502.36
V000410,2025-07-03,2,B2C,1616.09,1134.66,1605.44
V000411,2024-07-19,5,Canal Digital,2266.65,1428.22,2156.9
V000412,2025-09-29,4,B2C,7055.06,4453.47,7651.1
V000413,2025-09-09,2,B2C,3534.71,1996.41,4203.32
V000414,2025-04-03,2,B2C,3783.06,2466.85,3536.29
V000415,2024-08-10,1,B2C,3848.72,2835.3,4268.43
V000416,2024-04-26,4,Canal Digital,4655.63,3194.17,4667.88
V000417,2024-02-28,1,B2B,1689.08,1110.12,1931.61
V000418,2025-11-25,5,B2C,5686.67,4377.09,6092.89
V000419,2024-06-24,1,B2C,5597.57,4137.51,5158.2
V000420,2025-01-08,5,B2C,8306.23,6826.86,8688.46
V000421,2025-03-21,1,B2B,9398.05,6264.2,10216.33
V000422,2024-01-31,1,B2B,4274.55,3238.46,4816.3
V000423,2025-12-19,1,Canal Digital,8596.19,5860.43,9815.67
V000424,2025-05-06,4,B2B,10726.06,6500.13,10579.82
V000425,2024-08-17,2,B2B,4746.63,2930.38,4357.02
V000426,2025-04-11,3,B2B,4221.72,3566.69,4530.44
V000427,2024-09-23,2,B2C,6813.12,5179.35,6487.7
V000428,2024-10-03,4,B2B,7635.82,4341.61,8225.56
