orden_id,cliente_id,fecha_orden,canal,monto_orden
O000079,257,2025-05-29,Fuerza Comercial,134.48
O000080,363,2024-09-13,Online,782.11
O000081,1071,2025-06-28,Online,390.1
O000082,52,2025-08-19,Online,393.03
O000083,234,2025-09-07,Fuerza Comercial,512.45
O000084,669,2025-06-21,Partners,540.81
O000085,645,2024-06-03,Partners,760.07
O000086,815,2025-12-08,Online,158.2
O000087,465,2025-10-25,Fuerza Comercial,626.66
O000088,618,2025-10-17,Online,225.83
O000089,787,2025-04-05,Online,451.78
O000090,518,2024-10-29,Online,365.55
O000091,1188,2025-09-03,Fuerza Comercial,590.98
O000092,793,2024-11-25,Online,481.51
O000093,519,2024-12-16,Fuerza Comercial,217.29
O000094,653,2024-02-22,Fuerza Comercial,432.85
O000095,529,2024-06-23,Fuerza Comercial,586.41
O000096,572,2025-03-13,Online,353.15
O000097,1099,2025-03-15,Online,505.2
O000098,734,2025-12-18,Online,267.07
O000099,301,2025-06-04,Online,596.89
O000100,324,2025-09-13,Online,281.36
O000101,834,2024-08-25,Online,394.0
O000102,268,2025-07-13,Online,212.29
O000103,262,2024-06-17,Online,389.45
O000104,114,2025-09-04,Fuerza Comercial,492.06
O000105,7,2025-07-29,Fuerza Comercial,236.85
O000106,1092,2025-02-16,Online,573.38
O000107,888,2025-08-29,Fuerza Comercial,1079.85
O000108,1144,2025-04-17,Fuerza Comercial,527.89
O000109,393,2024-02-25,Online,418.77
O000110,1009,2024-04-13,Online,310.24
O000111,897,2024-04-21,Online,808.68
O000112,918,2025-07-09,Online,213.81
O000113,598,2025-07-28,Online,583.91
O000114,585,2025-06-28,Online,316.47
O000115,581,2024-01-18,Fuerza Comercial,620.42
O000116,858,2024-09-13,Online,660.45
O000117,510,2025-06-15,Fuerza Comercial,648.24
O000118,71,2024-07-03,Online,485.43
O000119,639,2024-04-15,Fuerza Comercial,321.59
O000120,400,2024-08-13,Online,498.59
O000121,419,2025-02-10,Fuerza Comercial,445.24
O000122,342,2024-07-19,Fuerza Comercial,972.26
O000123,590,2024-06-28,Partners,274.2
O000124,97,2025-09-17,Online,670.23
O000125,115,2024-11-16,Online,716.48
O000126,487,2025-09-16,Online,421.33
O000127,1146,2024-03-01,Online,582.76
O000128,366,2024-08-30,Online,811.0
O000129,158,2025-01-30,Online,223.48
O000130,302,2025-01-24,Partners,681.9
O000131,357,2025-12-04,Fuerza Comercial,394.46
O000132,874,2024-11-04,Partners,427.72
O000133,618,2025-05-06,Partners,923.03
O000134,422,2025-01-07,Fuerza Comercial,857.58
O000135,489,2025-04-22,Online,427.6
O000136,1144,2024-10-05,Online,189.3
O000137,773,2025-07-31,Fuerza Comercial,287.14
O000138,383,2024-12-22,Fuerza Comercial,536.9
O000139,33,2024-08-21,Fuerza Comercial,859.67
O000140,11,2024-02-01,Fuerza Comercial,292.19
O000141,28,2025-05-22,Fuerza Comercial,550.19
O000142,765,2025-10-08,Fuerza Comercial,915.57
O000143,1162,2024-08-13,Online,302.76
O000144,481,2024-05-20,Online,268.75
O000145,1047,2024-06-19,Online,276.94
O000146,978,2024-10-16,Online,313.65
O000147,941,2025-07-04,Online,1001.23
O000148,1146,2025-07-24,Online,680.86
O000149,455,2025-01-05,Fuerza Comercial,449.73
O000150,413,2025-12-17,Online,275.34
O000151,486,2025-10-20,Online,341.26
O000152,1162,2024-07-08,Fuerza Comercial,343.69
O000153,1070,2025-05-20,Online,46.65
O000154,709,2025-08-13,Partners,502.41
O000155,682,2024-04-30,Online,420.16
O000156,1002,2025-04-02,Online,584.19
O000157,1107,2025-06-10,Online,582.34
O000158,483,2024-12-28,Fuerza Comercial,197.43
O000159,167,2024-10-14,Fuerza Comercial,262.18
O000160,204,2025-03-04,Online,100.23
O000161,589,2024-04-15,Online,204.96
O000162,884,2024-08-03,Online,666.2
O000163,812,2025-09-12,Online,255.41
O000164,300,2024-07-21,Partners,393.04
O000165,255,2025-08-01,Online,566.75
O000166,90,2024-08-02,Fuerza Comercial,324.67
O000167,1051,2024-04-16,Fuerza Comercial,474.19
O000168,1063,2024-10-03,Partners,524.56
O000169,119,2025-06-18,Online,364.79
O000170,1146,2025-07-12,Online,767.68
O000171,1088,2024-02-23,Fuerza Comercial,302.87
O000172,1107,2024-04-04,Online,367.09
O000173,1168,2025-03-11,Online,367.68
O000174,566,2025-12-08,Fuerza Comercial,317.03
O000175,48,2024-03-24,Fuerza Comercial,357.72
O000176,426,2024-10-30,Online,718.21
O000177,313,2024-03-29,Fuerza Comercial,891.37
O000178,1120,2025-11-13,Online,185.45
O000179,847,2024-08-06,Fuerza Comercial,564.14
O000180,104,2024-11-30,Online,273.55
O000181,177,2025-11-11,Fuerza Comercial,638.74
O000182,246,2024-02-24,Online,234.17
O000183,598,2025-01-18,Fuerza Comercial,497.71
O000184,1164,2024-02-16,Online,944.03
O000185,132,2025-05-13,Online,509.85
O000186,1001,2024-09-16,Online,575.08
O000187,793,2025-12-26,Fuerza Comercial,921.18
O000188,596,2024-02-04,Fuerza Comercial,819.49
O000189,842,2024-01-21,Online,404.74
O000190,817,2025-09-13,Fuerza Comercial,381.51
O000191,307,2024-01-17,Fuerza Comercial,860.21
O000192,889,2024-04-16,Online,618.53
O000193,955,2025-08-03,Online,233.84
O000194,638,2025-06-13,Fuerza Comercial,678.26
O000195,15,2024-06-04,Online,309.02
O000196,814,2025-02-19,Online,1012.43
O000197,381,2024-02-20,Fuerza Comercial,183.14
O000198,427,2025-11-11,Online,782.52
O000199,1190,2024-10-02,Online,271.25
O000200,944,2024-09-04,Fuerza Comercial,452.07
O000201,764,2025-12-19,Fuerza Comercial,648.28
O000202,18,2025-03-19,Fuerza Comercial,236.69
O000203,487,2024-02-04,Online,196.34
O000204,1106,2025-02-17,Online,119.15
O000205,264,2025-04-15,Online,530.79
O000206,813,2025-11-14,Fuerza Comercial,686.9
O000207,1097,2025-04-26,Fuerza Comercial,521.15
O000208,265,2024-07-23,Online,747.7
O000209,856,2024-07-22,Partners,467.05
O000210,932,2025-09-03,Online,598.63
O000211,1015,2024-02-05,Fuerza Comercial,69.85
O000212,268,2025-01-24,Fuerza Comercial,446.45
O000213,133,2024-04-02,Online,461.27
O000214,51,2024-10-28,Partners,394.41
O000215,1109,2024-08-26,Fuerza Comercial,964.96
O000216,1017,2024-01-23,Partners,949.34
O000217,630,2024-11-18,Online,681.47
O000218,606,2024-12-02,Online,1076.33
O000219,796,2025-04-24,Fuerza Comercial,214.78
O000220,219,2024-08-26,Online,
O000221,43,2024-06-23,Partners,469.37
O000222,355,2025-11-24,Online,458.08
O000223,481,2024-06-30,Partners,547.07
O000224,523,2024-08-22,Fuerza Comercial,550.32
O000225,815,2025-08-20,Fuerza Comercial,344.45
O000226,318,2024-08-19,Fuerza Comercial,587.45
O000227,88,2024-06-15,Fuerza Comercial,367.24
O000228,570,2024-10-27,Fuerza Comercial,833.65
O000229,56,2025-08-21,Fuerza Comercial,420.79
O000230,432,2024-10-04,Fuerza Comercial,325.05
O000231,397,2025-05-06,Fuerza Comercial,391.87
O000232,998,2025-07-09,Online,157.05
O000233,487,2024-10-22,Online,274.73
O000234,1050,2024-04-15,Fuerza Comercial,389.32
O000235,25,2025-09-18,Online,331.64
O000236,181,2024-06-30,Partners,243.27
O000237,466,2024-03-18,Fuerza Comercial,588.09
O000238,170,2025-01-24,Fuerza Comercial,239.39
O000239,776,2024-09-30,Fuerza Comercial,265.38
O000240,1097,2024-01-15,Online,353.17
O000241,261,2025-05-24,Online,445.12
O000242,1130,2025-08-09,Partners,336.73
O000243,470,2024-10-22,Fuerza Comercial,358.43
O000244,1135,2025-08-10,Online,433.01
O000245,947,2024-10-18,Online,417.75
O000246,620,2025-10-10,Fuerza Comercial,404.38
O000247,732,2024-04-19,Partners,572.54
O000248,776,2025-08-10,Online,349.33
O000249,281,2024-11-13,Fuerza Comercial,233.71
O000250,800,2024-09-04,Fuerza Comercial,747.22
O000251,875,2025-10-24,Partners,
O000252,23,2025-05-19,Partners,861.5
O000253,37,2025-06-12,Online,369.25
O000254,810,2024-07-31,Fuerza Comercial,677.54
O000255,393,2025-02-12,Fuerza Comercial,125.86
O000256,7,2025-04-18,Online,686.82
O000257,261,2024-08-31,Online,619.99
O000258,1050,2025-09-21,Online,307.44
O000259,822,2024-05-15,Partners,243.75
O000260,595,2025-04-11,Fuerza Comercial,541.69
O000261,313,2025-07-24,Online,427.73
O000262,266,2025-07-01,Fuerza Comercial,188.11
O000263,544,2024-04-27,Online,1077.32
O000264,30,2024-06-13,Fuerza Comercial,585.38
O000265,802,2025-11-01,Fuerza Comercial,892.47
O000266,325,2025-08-28,Partners,634.32
O000267,361,2024-09-02,Online,301.57
O000268,128,2025-10-21,Online,351.97
O000269,535,2024-09-26,Fuerza Comercial,1042.18
O000270,528,2024-04-09,Partners,345.81
O000271,230,2024-09-03,Online,292.55
O000272,480,2024-01-04,Fuerza Comercial,1001.15
O000273,518,2025-08-10,Partners,173.47
O000274,107,2025-11-11,Online,455.45
O000275,1185,2024-01-21,Online,310.14
O000276,1065,2025-03-05,Online,517.0
O000277,1058,2024-01-12,Online,275.7
O000278,168,2024-03-15,Fuerza Comercial,932.31
O000279,655,2024-03-09,Online,426.39
O000280,967,2025-07-01,Partners,475.9
O000281,624,2024-12-24,Online,178.49
O000282,1190,2024-09-17,Online,547.9
O000283,749,2025-02-02,Partners,241.69
O000284,930,2025-06-13,Online,583.85
O000285,71,2025-04-22,Fuerza Comercial,532.43
O000286,1018,2024-02-22,Fuerza Comercial,182.77
O000287,816,2024-12-01,Fuerza Comercial,877.55
O000288,186,2025-07-28,Fuerza Comercial,430.26
O000289,1054,2024-06-06,Online,256.75
O000290,429,2024-11-16,Fuerza Comercial,456.75
O000291,374,2025-05-22,Online,454.86
O000292,1142,2025-01-17,Partners,604.54
O000293,941,2024-07-12,Fuerza Comercial,261.91
O000294,1075,2025-08-27,Fuerza Comercial,122.53
O000295,455,2025-11-23,Partners,414.21
O000296,1073,2025-09-14,Online,896.02
O000297,11,2025-04-05,Online,516.96
O000298,419,2025-09-02,Online,352.14
O000299,328,2024-12-27,Online,476.57
O000300,288,2025-12-09,Fuerza Comercial,286.14
O000301,192,2024-07-25,Fuerza Comercial,211.94
O000302,480,2024-07-15,Online,
O000303,573,2024-12-11,Fuerza Comercial,547.44
O000304,316,2024-09-12,Fuerza Comercial,556.72
O000305,345,2025-12-05,Partners,220.46
O000306,503,2024-12-16,Partners,799.63
O000307,535,2024-09-09,Fuerza Comercial,668.94
O000308,538,2025-08-13,Online,728.17
O000309,663,2024-07-02,Fuerza Comercial,806.08
O000310,568,2025-03-26,Fuerza Comercial,892.66
O000311,839,2024-10-17,Online,265.92
O000312,883,2024-12-18,Online,1264.65
O000313,818,2024-06-16,Fuerza Comercial,354.59
O000314,383,2024-09-14,Online,274.56
O000315,201,2024-07-18,Online,413.73
O000316,960,2025-06-02,Fuerza Comercial,518.33
O000317,1044,2024-08-16,Fuerza Comercial,330.98
O000318,241,2025-06-12,Fuerza Comercial,660.73
O000319,587,2025-12-08,Online,720.52
O000320,811,2024-04-18,Fuerza Comercial,105.44
O000321,15,2024-12-24,Online,433.98
O000322,1039,2024-01-13,Partners,747.78
O000323,33,2024-08-12,Fuerza Comercial,474.62
O000324,140,2025-03-08,Online,792.13
O000325,782,2025-10-11,Online,661.05
O000326,1158,2025-10-24,Online,623.93
O000327,37,2025-04-03,Partners,539.32
O000328,490,2025-03-20,Fuerza Comercial,134.04
O000329,706,2025-05-12,Online,452.0
O000330,712,2025-07-12,Fuerza Comercial,368.12
O000331,1159,2024-08-23,Online,460.85
O000332,851,2024-07-15,Online,381.22
O000333,882,2024-04-07,Online,302.66
O000334,673,2024-06-30,Partners,219.14
O000335,704,2025-08-03,Fuerza Comercial,550.66
O000336,110,2024-12-10,Online,1006.91
O000337,153,2025-11-29,Online,247.06
O000338,67,2024-09-18,Online,377.67
O000339,44,2025-05-16,Fuerza Comercial,755.25
O000340,613,2025-11-27,Online,843.32
O000341,41,2025-01-20,Online,321.51
O000342,194,2024-02-23,Online,492.72
O000343,951,2025-01-16,Fuerza Comercial,546.99
O000344,459,2024-09-19,Online,655.26
O000345,112,2025-12-30,Fuerza Comercial,585.02
O000346,49,2024-03-05,Fuerza Comercial,617.24
O000347,42,2024-06-12,Online,856.85
O000348,1027,2024-01-06,Online,703.71
O000349,820,2025-10-15,Online,478.28
O000350,251,2024-08-30,Online,323.74
O000351,456,2024-12-26,Fuerza Comercial,586.36
O000352,32,2025-11-01,Online,868.2
O000353,419,2025-06-05,Online,411.0
O000354,6,2024-10-22,Fuerza Comercial,383.39
O000355,507,2024-03-14,Fuerza Comercial,564.28
O000356,1004,2024-05-19,Fuerza Comercial,462.4
O000357,568,2024-10-08,Partners,588.04
O000358,548,2025-03-06,Fuerza Comercial,533.17
O000359,172,2025-02-02,Fuerza Comercial,466.04
O000360,41,2025-10-15,Online,402.69
O000361,272,2025-07-17,Partners,375.6
O000362,610,2024-10-31,Fuerza Comercial,464.22
O000363,477,2024-07-07,Online,280.95
O000364,1171,2025-06-03,Partners,540.78
O000365,96,2024-06-11,Online,297.99
O000366,286,2025-09-27,Online,157.13
O000367,1074,2025-06-26,Online,147.17
O000368,371,2024-12-22,Partners,535.57
O000369,785,2024-11-13,Online,451.57
O000370,973,2025-01-26,Partners,197.91
O000371,175,2025-10-10,Fuerza Comercial,277.41
O000372,1141,2025-06-20,Online,601.35
O000373,439,2025-07-03,Fuerza Comercial,293.55
O000374,518,2025-03-03,Partners,508.59
O000375,100,2024-10-05,Online,444.93
O000376,127,2024-08-24,Partners,283.85
O000377,679,2024-07-16,Fuerza Comercial,298.44
O000378,561,2025-01-31,Online,370.28
O000379,582,2025-05-31,Partners,2051.14
O000380,468,2025-07-25,Online,1054.02
O000381,75,2024-06-28,Online,650.38
O000382,671,2024-08-18,Online,159.64
O000383,683,2025-05-06,Online,660.58
O000384,267,2024-11-25,Fuerza Comercial,797.38
O000385,932,2024-03-03,Fuerza Comercial,443.89
O000386,665,2025-11-21,Fuerza Comercial,374.59
O000387,756,2025-11-01,Fuerza Comercial,216.72
O000388,595,2025-03-27,Online,299.69
O000389,822,2025-01-29,Online,70.34
O000390,370,2025-09-25,Online,282.91
O000391,73,2025-08-22,Fuerza Comercial,698.94
O000392,438,2024-09-19,Online,402.43
O000393,314,2024-02-27,Fuerza Comercial,130.41
O000394,17,2024-02-22,Online,382.99
O000395,279,2025-01-04,Fuerza Comercial,301.15
O000396,915,2024-10-27,Online,512.77
O000397,279,2024-10-22,Fuerza Comercial,618.74
O000398,450,2025-10-24,Fuerza Comercial,243.42
O000399,50,2025-09-20,Online,425.31
O000400,428,2024-10-22,Fuerza Comercial,953.7
O000401,770,2024-04-23,Online,375.06
O000402,99,2025-05-10,Partners,451.22
O000403,720,2025-11-02,Fuerza Comercial,206.64
O000404,225,2025-01-11,Partners,1196.29
O000405,41,2025-03-28,Partners,316.9
O000406,193,2025-11-30,Online,669.57
O000407,28,2025-08-29,Online,285.08
O000408,120,2024-09-19,Online,214.14
O000409,157,2024-08-28,Online,452.45
O000410,164,2025-03-22,Fuerza Comercial,785.09
O000411,125,2024-11-16,Online,276.59
O000412,819,2024-08-14,Online,250.53
O000413,612,2025-08-10,Online,243.07
O000414,579,2024-08-06,Online,301.2
O000415,971,2025-10-05,Fuerza Comercial,352.36
O000416,228,2024-07-29,Online,250.44
O000417,253,2025-06-30,Online,205.53
O000418,892,2024-07-01,Fuerza Comercial,509.09
O000419,669,2025-12-12,Partners,488.07
O000420,141,2025-09-08,Fuerza Comercial,514.84
O000421,904,2024-08-01,Online,133.48
O000422,238,2024-05-26,Partners,877.45
O000423,878,2024-02-06,Online,225.59
O000424,336,2025-11-16,Partners,793.9
O000425,343,2025-03-31,Online,583.17
O000426,529,2024-07-30,Online,236.08
O000427,555,2024-04-11,Online,268.81
O000428,1080,2025-09-23,Partners,607.27
O000429,681,2025-06-14,Online,260.08
O000430,13,2025-03-22,Online,242.58
O000431,909,2025-01-09,Partners,482.9
O000432,1135,2025-05-18,Fuerza Comercial,399.85
O000433,799,2024-10-16,Partners,362.13
O000434,125,2025-08-28,Online,318.08
O000435,1115,2024-04-13,Partners,232.92
O000436,35,2024-02-05,Fuerza Comercial,478.87
O000437,473,2024-07-26,Online,483.16
O000438,338,2024-09-29,Online,262.06
O000439,529,2024-02-09,Online,325.93
O000440,1049,2024-09-23,Partners,685.78
O000441,771,2024-08-01,Online,419.49
O000442,761,2025-04-01,Online,500.39
O000443,940,2025-01-18,Online,511.4
O000444,1199,2025-12-09,Online,510.45
O000445,917,2025-07-10,Online,479.46
O000446,814,2024-03-18,Fuerza Comercial,200.57
O000447,194,2024-04-21,Fuerza Comercial,236.61
O000448,43,2024-05-31,Online,321.2
O000449,862,2025-01-08,Online,416.89
O000450,432,2025-12-21,Partners,396.43
O000451,727,2024-11-28,Partners,574.22
O000452,692,2024-03-29,Fuerza Comercial,630.97
O000453,1027,2025-03-25,Partners,516.55
O000454,700,2024-01-05,Online,315.09
O000455,1086,2025-11-07,Fuerza Comercial,521.21
O000456,667,2025-04-22,Fuerza Comercial,339.5
O000457,513,2025-03-17,Online,577.46
O000458,384,2025-12-20,Online,60.09
O000459,645,2024-03-31,Online,594.68
O000460,776,2024-11-27,Fuerza Comercial,433.76
O000461,1036,2024-12-10,Online,353.96
O000462,734,2024-01-08,Online,476.01
O000463,542,2024-11-24,Fuerza Comercial,615.84
O000464,338,2025-09-30,Online,550.33
O000465,182,2024-03-14,Online,1086.55
O000466,1037,2025-08-07,Online,357.59
O000467,715,2025-05-26,Online,487.96
O000468,440,2025-04-08,Partners,125.09
O000469,123,2024-03-23,Online,813.26
O000470,574,2025-10-03,Fuerza Comercial,264.47
O000471,744,2025-10-25,Online,616.7
O000472,131,2025-11-14,Online,331.7
O000473,495,2024-07-12,Partners,135.93
O000474,28,2025-12-04,Partners,541.44
O000475,973,2024-08-17,Partners,292.23
O000476,753,2024-01-18,Online,460.49
O000477,182,2024-08-19,Fuerza Comercial,352.2
O000478,1187,2024-05-01,Fuerza Comercial,323.4
O000479,799,2024-10-23,Online,236.31
O000480,629,2025-10-14,Fuerza Comercial,103.33
O000481,898,2024-11-28,Fuerza Comercial,373.31
O000482,1018,2025-12-28,Online,825.03
O000483,367,2025-08-30,Online,461.72
O000484,153,2024-04-29,Online,226.06
O000485,114,2024-07-26,Fuerza Comercial,334.87
O000486,27,2024-07-04,Partners,359.67
O000487,623,2024-04-08,Online,866.43
O000488,1004,2025-12-14,Fuerza Comercial,519.05
O000489,822,2025-11-22,Fuerza Comercial,816.69
O000490,1009,2024-03-20,Fuerza Comercial,233.75
O000491,338,2025-04-27,Online,504.14
O000492,767,2024-10-28,Online,304.12
O000493,5,2025-08-18,Partners,828.9
O000494,568,2024-09-08,Online,498.27
O000495,1086,2024-04-22,Online,173.04
O000496,61,2025-07-17,Online,329.75
O000497,32,2024-12-19,Fuerza Comercial,222.73
O000498,1002,2024-01-03,Online,271.93
O000499,315,2024-12-27,Fuerza Comercial,584.46
O000500,967,2025-09-30,Partners,248.59
O000501,1029,2024-05-16,Online,638.92
O000502,199,2025-08-04,Fuerza Comercial,802.15
O000503,438,2025-05-22,Online,570.57
O000504,902,2024-08-18,Fuerza Comercial,245.14
O000505,1053,2024-09-28,Partners,353.75
O000506,759,2024-05-28,Fuerza Comercial,341.51
O000507,495,2025-10-21,Fuerza Comercial,202.86
O000508,517,2025-07-07,Fuerza Comercial,751.22
O000509,724,2024-03-02,Online,580.34
O000510,342,2024-09-09,Online,183.42
O000511,510,2025-12-14,Online,345.79
O000512,134,2024-01-29,Fuerza Comercial,943.82
O000513,926,2025-07-18,Online,374.97
O000514,1063,2024-10-06,Online,422.05
O000515,1179,2025-09-04,Online,165.72
O000516,438,2025-06-21,Online,534.15
O000517,1149,2025-05-08,Fuerza Comercial,505.02
O000518,1093,2025-04-02,Fuerza Comercial,316.95
O000519,679,2025-10-03,Fuerza Comercial,392.06
O000520,527,2025-04-09,Fuerza Comercial,297.2
O000521,1034,2024-09-29,Online,435.17
O000522,288,2025-10-12,Partners,349.56
O000523,507,2024-09-01,Fuerza Comercial,455.18
O000524,1143,2024-03-14,Online,180.81
O000525,1046,2025-08-17,Fuerza Comercial,126.96
O000526,803,2025-07-11,Partners,647.52
O000527,825,2024-09-03,Partners,403.09
O000528,801,2025-02-19,Fuerza Comercial,453.74
O000529,596,2025-11-10,Partners,522.47
O000530,598,2025-03-31,Fuerza Comercial,802.76
O000531,812,2025-12-29,Partners,621.05
O000532,1008,2024-02-01,Online,489.35
O000533,977,2025-07-06,Online,907.27
O000534,1100,2025-03-23,Online,516.2
O000535,726,2024-05-18,Partners,504.22
O000536,86,2025-06-21,Online,302.3
O000537,785,2025-06-20,Partners,333.23
O000538,933,2024-12-05,Online,651.73
O000539,487,2025-01-31,Online,632.55
O000540,720,2024-03-14,Online,438.64
O000541,655,2024-03-16,Online,417.52
O000542,982,2024-03-22,Partners,726.45
O000543,880,2025-03-16,Online,504.0
O000544,557,2024-12-07,Online,301.41
O000545,157,2025-05-13,Partners,102.64
O000546,208,2024-12-06,Partners,338.18
O000547,449,2025-10-16,Online,758.89
O000548,174,2025-01-25,Online,288.56
O000549,495,2025-11-28,Partners,273.19
O000550,419,2025-10-03,Online,378.16
O000551,580,2024-10-16,Online,471.77
O000552,825,2025-03-14,Online,252.28
O000553,435,2025-02-15,Online,
O000554,1151,2025-08-29,Online,270.87
O000555,35,2025-09-16,Online,592.93
O000556,628,2025-12-04,Online,
O000557,1028,2024-03-03,Online,481.05
O000558,51,2025-07-19,Online,422.56
O000559,481,2024-12-31,Fuerza Comercial,681.1
O000560,442,2025-06-02,Fuerza Comercial,727.44
O000561,1059,2024-12-03,Fuerza Comercial,882.84
O000562,680,2025-07-28,Partners,345.08
O000563,1153,2025-11-21,Fuerza Comercial,412.89
O000564,945,2024-10-04,Online,973.28
O000565,380,2025-11-03,Online,947.36
O000566,1057,2025-10-17,Partners,712.83
O000567,454,2025-04-06,Fuerza Comercial,364.82
O000568,206,2025-08-15,Partners,1161.31
O000569,479,2025-02-19,Fuerza Comercial,512.95
O000570,462,2025-11-09,Online,454.06
O000571,849,2025-08-29,Online,727.21
O000572,82,2024-04-19,Online,238.82
O000573,729,2025-02-09,Online,125.66
O000574,278,2024-06-17,Online,337.83
O000575,1152,2024-03-06,Online,302.58
O000576,4,2025-02-21,Fuerza Comercial,541.87
O000577,1066,2025-09-29,Fuerza Comercial,270.69
O000578,632,2024-05-18,Partners,131.74
O000579,36,2025-10-15,Online,330.32
O000580,32,2024-07-17,Fuerza Comercial,290.95
O000581,1113,2025-07-02,Online,488.71
O000582,347,2024-12-24,Fuerza Comercial,778.1
O000583,1030,2025-11-15,Fuerza Comercial,877.99
O000584,711,2025-03-18,Online,1215.32
O000585,194,2025-03-08,Partners,196.61
O000586,941,2025-09-30,Fuerza Comercial,398.43
O000587,148,2025-09-30,Partners,702.4
O000588,724,2024-05-08,Fuerza Comercial,589.95
O000589,1007,2025-12-11,Online,1157.3
O000590,241,2024-01-11,Partners,450.4
O000591,1005,2024-11-06,Fuerza Comercial,530.22
O000592,1149,2025-06-27,Online,567.42
O000593,72,2024-03-07,Online,520.36
O000594,273,2025-12-21,Online,360.24
O000595,246,2024-10-23,Fuerza Comercial,534.7
O000596,534,2024-01-08,Online,479.19
O000597,1087,2025-11-20,Fuerza Comercial,272.92
O000598,994,2025-11-20,Partners,400.7
O000599,1179,2025-01-20,Online,171.14
O000600,1064,2024-05-12,Fuerza Comercial,408.56
O000601,1102,2024-08-06,Online,833.1
O000602,112,2025-10-11,Online,490.01
O000603,272,2024-04-15,Partners,635.14
O000604,418,2025-09-03,Online,419.79
O000605,38,2024-10-31,Online,552.56
O000606,1153,2024-02-14,Online,276.15
O000607,835,2025-09-06,Partners,383.34
O000608,388,2025-11-07,Partners,227.02
O000609,121,2025-08-10,Fuerza Comercial,500.13
O000610,793,2024-11-17,Online,443.01
O000611,106,2024-04-16,Fuerza Comercial,210.1
