orden_id,metodo_pago,estado_pago,fecha_pago
O000089,PSE,Pagado,2025-04-12
O000090,Tarjeta,Pagado,2024-11-07
O000091,Tarjeta,Pendiente,2025-09-07
O000092,Tarjeta,Pagado,2024-11-27
O000093,Tarjeta,Pagado,2024-12-25
O000094,Transferencia,Pagado,2024-02-25
O000095,Tarjeta,Pagado,2024-06-29
O000096,Transferencia,Pendiente,2025-03-15
O000097,Tarjeta,Pagado,2025-03-24
O000098,Tarjeta,Pagado,2025-12-25
O000099,Tarjeta,Pagado,2025-06-07
O000100,Transferencia,Pagado,2025-09-20
O000101,Tarjeta,Pagado,2024-08-30
O000102,Efectivo,Pendiente,2025-07-16
O000103,Efectivo,Pagado,2024-06-21
O000104,Tarjeta,Pagado,2025-09-06
O000105,Tarjeta,Pagado,2025-08-04
O000106,Tarjeta,Rechazado,2025-02-23
O000107,Tarjeta,Pagado,2025-08-29
O000108,Transferencia,Pagado,2025-04-21
O000109,Transferencia,Pagado,2024-02-29
O000110,Tarjeta,Pagado,2024-04-20
O000111,Tarjeta,Pagado,2024-04-23
O000112,Tarjeta,Pagado,2025-07-13
O000113,Tarjeta,Pagado,2025-07-31
O000114,Tarjeta,Rechazado,2025-07-06
O000115,PSE,Pagado,2024-01-27
O000116,Tarjeta,Pagado,2024-09-15
O000117,Transferencia,Pagado,2025-06-22
O000118,PSE,Pagado,2024-07-08
O000119,PSE,Rechazado,2024-04-23
O000120,Tarjeta,Pagado,2024-08-17
O000121,PSE,Pagado,2025-02-16
O000122,Transferencia,Pagado,2024-07-25
O000123,Efectivo,Pagado,2024-07-03
O000124,Tarjeta,Pagado,2025-09-19
O000125,Tarjeta,Pagado,2024-11-23
O000126,Tarjeta,Pagado,2025-09-22
O000127,Transferencia,Pagado,2024-03-03
O000128,Tarjeta,Pagado,2024-09-07
O000129,Tarjeta,Pagado,2025-02-04
O000130,Tarjeta,Pagado,2025-01-25
O000131,PSE,Pagado,2025-12-07
O000132,Transferencia,Pagado,2024-11-10
O000133,Tarjeta,Rechazado,2025-05-15
O000134,Transferencia,Pagado,2025-01-14
O000135,Tarjeta,Pagado,2025-04-30
O000136,Tarjeta,Pagado,2024-10-10
O000137,Tarjeta,Pagado,2025-08-02
O000138,Tarjeta,Pendiente,2024-12-25
O000139,PSE,Pagado,2024-08-23
O000140,Tarjeta,Pagado,2024-02-01
O000141,PSE,Pagado,2025-05-22
O000142,Tarjeta,Pagado,2025-10-10
O000143,Transferencia,Pagado,2024-08-13
O000144,Tarjeta,Pagado,2024-05-29
O000145,Efectivo,Pagado,2024-06-28
O000146,PSE,Pagado,2024-10-23
O000147,Tarjeta,Pagado,2025-07-05
O000148,PSE,Pagado,2025-07-31
O000149,PSE,Pagado,2025-01-06
O000150,Transferencia,Pagado,2025-12-22
O000151,Transferencia,Pagado,2025-10-25
O000152,PSE,Pagado,2024-07-08
O000153,PSE,Pendiente,2025-05-25
O000154,Tarjeta,Pagado,2025-08-21
O000155,PSE,Pagado,2024-05-01
O000156,PSE,Pagado,2025-04-08
O000157,Efectivo,Pagado,2025-06-16
O000158,PSE,Pagado,2024-12-30
O000159,Tarjeta,Pagado,2024-10-17
O000160,PSE,Pendiente,2025-03-05
O000161,Tarjeta,Pendiente,2024-04-22
O000162,Tarjeta,Pagado,2024-08-09
O000163,Efectivo,Pagado,2025-09-18
O000164,Tarjeta,Pagado,2024-07-23
O000165,Efectivo,Pagado,2025-08-10
O000166,Tarjeta,Pagado,2024-08-09
O000167,Tarjeta,Pagado,2024-04-21
O000168,PSE,Pagado,2024-10-12
O000169,Efectivo,Pagado,2025-06-23
O000170,Efectivo,Pagado,2025-07-20
O000171,Tarjeta,Pagado,2024-02-24
O000172,Tarjeta,Pendiente,2024-04-06
O000173,Tarjeta,Pagado,2025-03-20
O000174,Tarjeta,Pendiente,2025-12-09
O000175,Transferencia,Pagado,2024-03-31
O000176,PSE,Pagado,2024-11-06
O000177,Transferencia,Pagado,2024-04-05
O000178,PSE,Pagado,2025-11-15
O000179,Tarjeta,Pendiente,2024-08-14
O000180,Tarjeta,Pagado,2024-12-02
O000181,Tarjeta,Pagado,2025-11-19
O000182,PSE,Pagado,2024-03-02
O000183,Efectivo,Pagado,2025-01-26
O000184,PSE,Pagado,2024-02-25
O000185,PSE,Pagado,2025-05-19
O000186,Tarjeta,Pagado,2024-09-25
O000187,Tarjeta,Pagado,2025-12-27
O000188,Tarjeta,Pagado,2024-02-10
O000189,Transferencia,Pagado,2024-01-29
O000190,PSE,Pagado,2025-09-16
O000191,PSE,Pagado,2024-01-21
O000192,Transferencia,Pagado,2024-04-16
O000193,Transferencia,Pagado,2025-08-06
O000194,Tarjeta,Pagado,2025-06-17
O000195,Tarjeta,Pagado,2024-06-06
O000196,Tarjeta,Pendiente,2025-02-25
O000197,Tarjeta,Pagado,2024-02-26
O000198,PSE,Pendiente,2025-11-16
O000199,PSE,Pagado,2024-10-10
O000200,Efectivo,Pagado,2024-09-06
O000201,Tarjeta,Pagado,2025-12-19
O000202,Transferencia,Pagado,2025-03-24
O000203,PSE,Pagado,2024-02-11
O000204,Efectivo,Pagado,2025-02-18
O000205,PSE,Pagado,2025-04-21
O000206,PSE,Pagado,2025-11-15
O000207,Efectivo,Pagado,2025-05-01
O000208,Tarjeta,Pagado,2024-07-23
O000209,PSE,Pagado,2024-07-29
O000210,Tarjeta,Pagado,2025-09-05
O000211,PSE,Pagado,2024-02-11
O000212,Tarjeta,Pagado,2025-02-01
O000213,Transferencia,Rechazado,2024-04-11
O000214,Tarjeta,Pagado,2024-10-29
O000215,Tarjeta,Pagado,2024-09-03
O000216,Transferencia,Pagado,2024-01-31
O000217,Efectivo,Pagado,2024-11-21
O000218,Tarjeta,Pagado,2024-12-07
O000219,Transferencia,Pagado,2025-04-24
O000220,Transferencia,Pagado,2024-08-27
O000221,PSE,Pagado,2024-06-26
O000222,Tarjeta,Pagado,2025-12-02
O000223,Tarjeta,Pagado,2024-07-05
O000224,PSE,Pagado,2024-08-31
O000225,Tarjeta,Pagado,2025-08-20
O000226,Tarjeta,Pagado,2024-08-28
O000227,Efectivo,Pagado,2024-06-22
O000228,Tarjeta,Pagado,2024-10-28
O000229,PSE,Pendiente,2025-08-21
O000230,Efectivo,Pagado,2024-10-05
O000231,Transferencia,Pagado,2025-05-10
O000232,Tarjeta,Pendiente,2025-07-11
O000233,Tarjeta,Pagado,2024-10-25
O000234,Tarjeta,Pagado,2024-04-22
O000235,PSE,Pagado,2025-09-26
O000236,Tarjeta,Pagado,2024-07-05
O000237,Tarjeta,Pagado,2024-03-23
O000238,Tarjeta,Pagado,2025-02-02
O000239,Transferencia,Pagado,2024-10-09
O000240,PSE,Pagado,2024-01-22
O000241,PSE,Pagado,2025-05-31
O000242,Transferencia,Pagado,2025-08-18
O000243,Efectivo,Pagado,2024-10-23
O000244,Transferencia,Pagado,2025-08-19
O000245,Efectivo,Pagado,2024-10-19
O000246,Tarjeta,Pagado,2025-10-13
O000247,PSE,Pagado,2024-04-23
O000248,Transferencia,Pagado,2025-08-19
O000249,Transferencia,Pagado,2024-11-18
O000250,Transferencia,Pendiente,2024-09-12
O000251,Transferencia,Pagado,2025-11-01
O000252,PSE,Pagado,2025-05-22
O000253,Tarjeta,Pagado,2025-06-21
O000254,Efectivo,Pendiente,2024-08-04
O000255,Transferencia,Pagado,2025-02-19
O000256,Tarjeta,Pagado,2025-04-26
O000257,Tarjeta,Pagado,2024-09-03
O000258,Tarjeta,Pagado,2025-09-28
O000259,Transferencia,Pagado,2024-05-17
O000260,Tarjeta,Pagado,2025-04-19
O000261,Efectivo,Pagado,2025-07-30
O000262,Tarjeta,Pagado,2025-07-06
O000263,Tarjeta,Pagado,2024-04-30
O000264,Tarjeta,Pagado,2024-06-21
O000265,Efectivo,Pagado,2025-11-02
O000266,Tarjeta,Pagado,2025-09-05
O000267,PSE,Pendiente,2024-09-08
O000268,Transferencia,Pagado,2025-10-25
O000269,Transferencia,Pagado,2024-09-28
O000270,PSE,Pagado,2024-04-17
O000271,Tarjeta,Rechazado,2024-09-11
O000272,Tarjeta,Pagado,2024-01-08
O000273,Transferencia,Pagado,2025-08-11
O000274,Transferencia,Pagado,2025-11-15
O000275,Transferencia,Pagado,2024-01-25
O000276,Tarjeta,Pagado,2025-03-05
O000277,Transferencia,Pagado,2024-01-20
O000278,Tarjeta,Pagado,2024-03-23
O000279,Efectivo,Pagado,2024-03-18
O000280,PSE,Pagado,2025-07-06
O000281,Tarjeta,Pagado,2024-12-25
O000282,Transferencia,Pagado,2024-09-23
O000283,PSE,Pagado,2025-02-10
O000284,Tarjeta,Pagado,2025-06-14
O000285,Tarjeta,Pagado,2025-04-26
O000286,Transferencia,Pendiente,2024-02-22
O000287,PSE,Pagado,2024-12-01
O000288,Tarjeta,Pendiente,2025-08-05
O000289,PSE,Pagado,2024-06-15
O000290,Transferencia,Pagado,2024-11-22
O000291,Tarjeta,Pagado,2025-05-24
O000292,Tarjeta,Pagado,2025-01-17
O000293,Tarjeta,Pagado,2024-07-14
O000294,Efectivo,Pagado,2025-09-05
O000295,Tarjeta,Pagado,2025-11-25
O000296,Tarjeta,Pagado,2025-09-16
O000297,Transferencia,Pagado,2025-04-12
O000298,Efectivo,Pagado,2025-09-04
O000299,Efectivo,Pagado,2024-12-31
O000300,Efectivo,Pagado,2025-12-15
O000301,PSE,Pagado,2024-08-03
O000302,PSE,Pagado,2024-07-17
O000303,Tarjeta,Pagado,2024-12-14
O000304,PSE,Pagado,2024-09-13
O000305,Transferencia,Pagado,2025-12-12
O000306,Tarjeta,Pagado,2024-12-19
O000307,PSE,Pagado,2024-09-16
O000308,Efectivo,Pagado,2025-08-16
O000309,Tarjeta,Pagado,2024-07-09
O000310,Tarjeta,Pagado,2025-03-27
O000311,PSE,Pagado,2024-10-25
O000312,PSE,Rechazado,2024-12-21
O000313,PSE,Pagado,2024-06-21
O000314,Tarjeta,Pagado,2024-09-19
O000315,Tarjeta,Pagado,2024-07-24
O000316,Tarjeta,Pagado,2025-06-04
O000317,PSE,Pagado,2024-08-22
O000318,Transferencia,Pagado,2025-06-16
O000319,Transferencia,Pagado,2025-12-17
O000320,Transferencia,Pagado,2024-04-19
O000321,PSE,Pagado,2024-12-26
O000322,Transferencia,Pagado,2024-01-18
O000323,PSE,Pagado,2024-08-19
O000324,Tarjeta,Pagado,2025-03-11
O000325,PSE,Pagado,2025-10-18
O000326,Tarjeta,Pagado,2025-10-27
O000327,Tarjeta,Pagado,2025-04-05
O000328,Tarjeta,Pagado,2025-03-21
O000329,Tarjeta,Pagado,2025-05-13
O000330,Transferencia,Pagado,2025-07-18
O000331,Tarjeta,Pendiente,2024-08-26
O000332,Tarjeta,Pagado,2024-07-17
O000333,PSE,Pagado,2024-04-08
O000334,Efectivo,Pagado,2024-07-02
O000335,Tarjeta,Pagado,2025-08-03
O000336,PSE,Pagado,2024-12-10
O000337,Efectivo,Pagado,2025-11-29
O000338,Tarjeta,Pagado,2024-09-26
O000339,Tarjeta,Pagado,2025-05-21
O000340,PSE,Pagado,2025-12-05
O000341,Transferencia,Pagado,2025-01-26
O000342,Transferencia,Pagado,2024-03-03
O000343,Tarjeta,Pagado,2025-01-20
O000344,Tarjeta,Pagado,2024-09-25
O000345,Tarjeta,Pagado,2026-01-07
O000346,Transferencia,Pagado,2024-03-10
O000347,Tarjeta,Pagado,2024-06-16
O000348,Tarjeta,Pagado,2024-01-06
O000349,Transferencia,Pagado,2025-10-16
O000350,Tarjeta,Pagado,2024-09-07
O000351,Tarjeta,Pagado,2025-01-03
O000352,PSE,Pagado,2025-11-01
O000353,PSE,Pagado,2025-06-08
O000354,Transferencia,Rechazado,2024-10-31
O000355,Tarjeta,Pagado,2024-03-21
O000356,Tarjeta,Pagado,2024-05-26
O000357,Tarjeta,Pagado,2024-10-17
O000358,Transferencia,Pagado,2025-03-13
O000359,PSE,Pagado,2025-02-02
O000360,Transferencia,Pagado,2025-10-18
O000361,PSE,Pagado,2025-07-23
O000362,PSE,Pagado,2024-11-05
O000363,Efectivo,Pagado,2024-07-16
O000364,Transferencia,Pagado,2025-06-05
O000365,Tarjeta,Pagado,2024-06-17
O000366,Tarjeta,Pendiente,2025-09-30
O000367,Tarjeta,Pagado,2025-07-03
O000368,Transferencia,Pendiente,2024-12-29
O000369,Tarjeta,Pagado,2024-11-16
O000370,Transferencia,Pagado,2025-02-02
O000371,Transferencia,Pendiente,2025-10-11
O000372,Tarjeta,Pagado,2025-06-29
O000373,Tarjeta,Pagado,2025-07-04
O000374,Efectivo,Pagado,2025-03-06
O000375,Transferencia,Pagado,2024-10-14
O000376,Transferencia,Pagado,2024-09-02
O000377,Tarjeta,Pagado,2024-07-23
O000378,Transferencia,Pagado,2025-01-31
O000379,Tarjeta,Pagado,2025-06-09
O000380,Tarjeta,Pagado,2025-07-27
O000381,Tarjeta,Pagado,2024-06-29
O000382,Tarjeta,Pagado,2024-08-21
O000383,Efectivo,Pagado,2025-05-10
O000384,Tarjeta,Pagado,2024-12-02
O000385,Efectivo,Pagado,2024-03-07
O000386,Tarjeta,Pagado,2025-11-30
O000387,PSE,Pagado,2025-11-08
O000388,Tarjeta,Pagado,2025-03-31
O000389,Tarjeta,Pagado,2025-02-02
O000390,Tarjeta,Pagado,2025-09-28
O000391,Tarjeta,Pagado,2025-08-28
O000392,Transferencia,Pagado,2024-09-19
O000393,Transferencia,Pendiente,2024-02-27
O000394,Tarjeta,Pagado,2024-02-24
O000395,Tarjeta,Pagado,2025-01-07
O000396,PSE,Pagado,2024-11-03
O000397,PSE,Pagado,2024-10-24
O000398,Transferencia,Pagado,2025-10-25
O000399,PSE,Pagado,2025-09-21
O000400,Efectivo,Pagado,2024-10-30
O000401,Tarjeta,Pagado,2024-04-25
O000402,Efectivo,Pagado,2025-05-11
O000403,PSE,Pagado,2025-11-11
O000404,Tarjeta,Pagado,2025-01-13
O000405,Tarjeta,Pagado,2025-03-29
O000406,Tarjeta,Pagado,2025-11-30
O000407,Tarjeta,Pagado,2025-09-05
O000408,Transferencia,Pagado,2024-09-19
O000409,Transferencia,Pagado,2024-08-31
O000410,PSE,Pagado,2025-03-30
O000411,Transferencia,Pagado,2024-11-19
O000412,Efectivo,Pagado,2024-08-20
O000413,PSE,Pagado,2025-08-17
O000414,PSE,Pagado,2024-08-13
O000415,Transferencia,Pagado,2025-10-12
O000416,Tarjeta,Pendiente,2024-08-06
O000417,PSE,Pagado,2025-07-07
O000418,Efectivo,Pagado,2024-07-06
O000419,Tarjeta,Pagado,2025-12-12
O000420,PSE,Pagado,2025-09-17
O000421,Tarjeta,Pagado,2024-08-02
O000422,Tarjeta,Pagado,2024-05-30
O000423,Tarjeta,Pagado,2024-02-13
O000424,Efectivo,Pagado,2025-11-23
O000425,Tarjeta,Pagado,2025-04-02
O000426,Transferencia,Pagado,2024-07-30
O000427,Tarjeta,Pagado,2024-04-20
O000428,Transferencia,Pagado,2025-09-27
O000429,Tarjeta,Pagado,2025-06-14
O000430,PSE,Pagado,2025-03-25
O000431,Transferencia,Pagado,2025-01-09
O000432,Transferencia,Pendiente,2025-05-25
O000433,Transferencia,Pagado,2024-10-17
O000434,PSE,Pagado,2025-09-05
O000435,PSE,Pendiente,2024-04-20
O000436,PSE,Pagado,2024-02-08
O000437,Tarjeta,Pagado,2024-08-04
O000438,Tarjeta,Pagado,2024-10-02
O000439,Tarjeta,Pagado,2024-02-15
O000440,Transferencia,Pendiente,2024-09-30
O000441,Transferencia,Pagado,2024-08-02
O000442,Transferencia,Pagado,2025-04-08
O000443,Efectivo,Pagado,2025-01-26
O000444,PSE,Pendiente,2025-12-13
O000445,Tarjeta,Pagado,2025-07-13
O000446,Tarjeta,Pagado,2024-03-18
O000447,Tarjeta,Pagado,2024-04-26
O000448,Tarjeta,Pagado,2024-06-09
O000449,Tarjeta,Pagado,2025-01-09
O000450,Efectivo,Pagado,2025-12-29
O000451,Efectivo,Pagado,2024-11-29
O000452,Tarjeta,Pagado,2024-03-29
O000453,Transferencia,Pagado,2025-03-27
O000454,Tarjeta,Pagado,2024-01-13
O000455,Transferencia,Pagado,2025-11-10
O000456,PSE,Rechazado,2025-04-29
O000457,Transferencia,Pagado,2025-03-24
O000458,PSE,Pagado,2025-12-21
O000459,Transferencia,Pagado,2024-04-03
O000460,PSE,Pagado,2024-12-05
O000461,Tarjeta,Pagado,2024-12-19
O000462,PSE,Pagado,2024-01-13
O000463,Transferencia,Pagado,2024-12-02
O000464,Transferencia,Pagado,2025-10-06
O000465,Tarjeta,Pagado,2024-03-22
O000466,PSE,Pagado,2025-08-10
O000467,Efectivo,Pendiente,2025-05-28
O000468,Tarjeta,Pagado,2025-04-14
O000469,Transferencia,Pagado,2024-03-24
O000470,Tarjeta,Pagado,2025-10-09
O000471,Tarjeta,Pagado,2025-10-30
O000472,PSE,Pagado,2025-11-23
O000473,Tarjeta,Pagado,2024-07-18
O000474,Tarjeta,Pagado,2025-12-11
O000475,Efectivo,Pagado,2024-08-24
O000476,Tarjeta,Pagado,2024-01-22
O000477,Transferencia,Pagado,2024-08-20
O000478,Efectivo,Pagado,2024-05-01
O000479,PSE,Pagado,2024-11-01
O000480,Transferencia,Pagado,2025-10-17
O000481,PSE,Pendiente,2024-12-03
O000482,Tarjeta,Pagado,2026-01-03
O000483,Tarjeta,Pagado,2025-09-02
O000484,Tarjeta,Pagado,2024-05-06
O000485,Tarjeta,Pagado,2024-08-03
O000486,Tarjeta,Pagado,2024-07-05
O000487,PSE,Pendiente,2024-04-11
O000488,Transferencia,Pagado,2025-12-19
O000489,Tarjeta,Pagado,2025-11-23
O000490,Tarjeta,Pagado,2024-03-22
O000491,Transferencia,Pagado,2025-04-28
O000492,Transferencia,Pagado,2024-11-06
O000493,Transferencia,Pendiente,2025-08-18
O000494,Tarjeta,Pagado,2024-09-09
O000495,Tarjeta,Pagado,2024-04-28
O000496,Tarjeta,Pagado,2025-07-26
O000497,Tarjeta,Pagado,2024-12-19
O000498,Transferencia,Pagado,2024-01-11
O000499,PSE,Pagado,2025-01-02
O000500,PSE,Rechazado,2025-10-03
O000501,Efectivo,Pagado,2024-05-17
O000502,Transferencia,Pagado,2025-08-11
O000503,PSE,Pagado,2025-05-22
O000504,Tarjeta,Pagado,2024-08-19
O000505,Transferencia,Pagado,2024-09-30
O000506,Tarjeta,Pagado,2024-06-04
O000507,Tarjeta,Pendiente,2025-10-26
O000508,Transferencia,Pagado,2025-07-12
O000509,PSE,Pagado,2024-03-02
O000510,Tarjeta,Pagado,2024-09-12
O000511,PSE,Pagado,2025-12-15
O000512,Tarjeta,Pagado,2024-02-02
O000513,Efectivo,Pendiente,2025-07-19
O000514,Tarjeta,Pagado,2024-10-11
O000515,Transferencia,Pagado,2025-09-10
O000516,Transferencia,Pagado,2025-06-22
O000517,Transferencia,Pendiente,2025-05-14
O000518,PSE,Pagado,2025-04-11
O000519,Tarjeta,Pagado,2025-10-07
O000520,Tarjeta,Pagado,2025-04-16
O000521,Tarjeta,Pagado,2024-09-29
O000522,Transferencia,Pagado,2025-10-18
O000523,Tarjeta,Pagado,2024-09-02
O000524,Tarjeta,Pagado,2024-03-17
O000525,Tarjeta,Pagado,2025-08-22
O000526,PSE,Pagado,2025-07-20
O000527,Tarjeta,Pagado,2024-09-06
O000528,Tarjeta,Pagado,2025-02-23
O000529,Efectivo,Pagado,2025-11-14
O000530,Tarjeta,Pagado,2025-04-07
O000531,Tarjeta,Pagado,2025-12-29
O000532,Tarjeta,Pagado,2024-02-07
O000533,PSE,Pagado,2025-07-07
O000534,PSE,Pagado,2025-03-28
O000535,Tarjeta,Pagado,2024-05-21
O000536,Tarjeta,Pagado,2025-06-30
O000537,Tarjeta,Pagado,2025-06-27
O000538,Transferencia,Pagado,2024-12-09
O000539,Efectivo,Pagado,2025-02-07
O000540,Tarjeta,Pagado,2024-03-21
O000541,Tarjeta,Pagado,2024-03-24
O000542,Tarjeta,Pagado,2024-03-27
O000543,Tarjeta,Pagado,2025-03-25
O000544,Transferencia,Pagado,2024-12-07
O000545,Efectivo,Pagado,2025-05-17
O000546,Transferencia,Pendiente,2024-12-12
O000547,Tarjeta,Pagado,2025-10-20
O000548,Tarjeta,Pagado,2025-01-29
O000549,PSE,Pagado,2025-12-06
O000550,Tarjeta,Pagado,2025-10-05
O000551,PSE,Pagado,2024-10-17
O000552,PSE,Pagado,2025-03-15
O000553,Tarjeta,Pagado,2025-02-16
O000554,Efectivo,Pagado,2025-09-04
O000555,Transferencia,Pendiente,2025-09-19
O000556,Tarjeta,Pagado,2025-12-04
O000557,Tarjeta,Pagado,2024-03-10
O000558,Tarjeta,Pagado,2025-07-26
O000559,PSE,Pagado,2025-01-06
O000560,Transferencia,Pagado,2025-06-07
O000561,Tarjeta,Pagado,2024-12-08
O000562,Tarjeta,Pagado,2025-08-06
O000563,Tarjeta,Pagado,2025-11-26
O000564,Tarjeta,Pendiente,2024-10-11
O000565,Tarjeta,Pagado,2025-11-06
O000566,Tarjeta,Pagado,2025-10-18
O000567,PSE,Pagado,2025-04-14
O000568,PSE,Pagado,2025-08-23
O000569,Transferencia,Pagado,2025-02-21
O000570,Transferencia,Pagado,2025-11-16
O000571,Efectivo,Pagado,2025-08-29
O000572,Tarjeta,Pagado,2024-04-21
O000573,Transferencia,Pendiente,2025-02-12
O000574,PSE,Pendiente,2024-06-21
O000575,PSE,Pagado,2024-03-13
O000576,PSE,Pagado,2025-02-26
O000577,Tarjeta,Pagado,2025-10-01
O000578,Tarjeta,Pagado,2024-05-18
O000579,PSE,Pagado,2025-10-16
O000580,Tarjeta,Pagado,2024-07-24
O000581,Tarjeta,Pagado,2025-07-09
O000582,Tarjeta,Pagado,2025-01-02
O000583,Tarjeta,Pagado,2025-11-24
O000584,Tarjeta,Pagado,2025-03-27
O000585,Tarjeta,Pendiente,2025-03-16
O000586,PSE,Pagado,2025-10-03
O000587,Tarjeta,Pagado,2025-10-01
O000588,Tarjeta,Pagado,2024-05-14
O000589,Tarjeta,Pagado,2025-12-15
O000590,Tarjeta,Pagado,2024-01-13
O000591,Tarjeta,Pagado,2024-11-10
O000592,Tarjeta,Rechazado,2025-07-02
O000593,Transferencia,Pagado,2024-03-14
O000594,PSE,Pagado,2025-12-27
O000595,Transferencia,Pagado,2024-10-29
O000596,PSE,Pagado,2024-01-08
O000597,PSE,Pagado,2025-11-29
O000598,Tarjeta,Pagado,2025-11-22
O000599,PSE,Pagado,2025-01-25
O000600,PSE,Pagado,2024-05-14
O000601,Transferencia,Pagado,2024-08-10
O000602,Tarjeta,Pagado,2025-10-11
O000603,Transferencia,Pagado,2024-04-23
O000604,Transferencia,Pagado,2025-09-04
O000605,Tarjeta,Pagado,2024-11-05
O000606,Tarjeta,Pagado,2024-02-14
O000607,PSE,Pagado,2025-09-12
O000608,Tarjeta,Pagado,2025-11-11
O000609,Transferencia,Pagado,2025-08-13
O000610,PSE,Pagado,2024-11-21
O000611,Tarjeta,Pagado,2024-04-25
O000612,Tarjeta,Pagado,2024-04-16
O000613,PSE,Pagado,2025-08-20
O000614,Tarjeta,Pagado,2025-10-09
O000615,Efectivo,Pagado,2024-04-17
O000616,PSE,Pendiente,2025-02-27
O000617,Tarjeta,Pagado,2024-04-16
O000618,Tarjeta,Pagado,2024-10-30
O000619,Transferencia,Pagado,2024-01-19
O000620,Tarjeta,Pagado,2024-02-25
O000621,Tarjeta,Pagado,2025-04-09
O000622,Tarjeta,Pagado,2025-05-20
O000623,PSE,Pagado,2024-02-26
O000624,Tarjeta,Pagado,2025-05-15
O000625,PSE,Pagado,2025-11-05
O000626,Tarjeta,Pendiente,2025-12-19
O000627,PSE,Pagado,2024-04-22
O000628,Transferencia,Pagado,2025-06-17
O000629,PSE,Pagado,2024-12-07
O000630,Transferencia,Pagado,2024-08-07
