order_id,date,customer_id,category,region,channel,quantity,unit_price,discount_pct,is_returned,gross_sales,discount_value,net_sales,cost,profit
ORD100032,2023-01-21,3568,Moda,Bogotá,Web,4,263.06,15,0,1052.24,157.84,894.4,552.93,341.47
ORD100033,2025-04-20,2786,Tecnología,Valle,App,3,479.48,10,0,1438.44,143.84,1294.6,870.13,424.47
ORD100034,2023-06-16,2454,Tecnología,Costa,Web,6,486.89,0,1,2921.34,0.0,2921.34,1656.37,1264.97
ORD100035,2024-01-23,2867,Hogar,Valle,Marketplace,4,328.01,5,0,1312.04,65.6,1246.44,872.45,373.99
ORD100036,2024-08-23,3738,Deportes,Valle,App,1,192.59,0,0,192.59,0.0,192.59,122.02,70.57
ORD100037,2023-11-12,3579,Moda,Bogotá,Marketplace,1,412.24,0,1,412.24,0.0,412.24,234.7,177.54
ORD100038,2023-01-14,3007,Moda,Costa,Web,1,62.84,15,0,62.84,9.43,53.41,40.24,13.17
ORD100039,2023-08-30,2434,Moda,Centro,App,1,159.49,5,0,159.49,7.97,151.52,110.07,41.45
ORD100040,2025-02-15,1839,Moda,Bogotá,Marketplace,2,493.07,15,0,986.14,147.92,838.22,640.59,197.63
ORD100041,2024-07-18,1240,Tecnología,Bogotá,App,3,410.88,0,0,1232.64,0.0,1232.64,990.54,242.1
ORD100042,2025-06-16,1535,Belleza,Costa,Web,2,471.0,0,0,942.0,0.0,942.0,667.08,274.92
ORD100043,2023-04-02,2407,Tecnología,Antioquia,Web,5,305.5,5,0,1527.5,76.38,1451.12,1106.35,344.77
ORD100044,2025-08-13,1082,Hogar,Bogotá,Web,5,215.68,5,0,1078.4,53.92,1024.48,618.56,405.92
ORD100045,2024-05-23,1981,Deportes,Valle,Web,4,490.25,10,0,1961.0,196.1,1764.9,1166.24,598.66
ORD100046,2025-02-14,1950,Hogar,Valle,App,1,168.52,5,0,168.52,8.43,160.09,110.96,49.13
ORD100047,2023-02-04,1610,Belleza,Centro,App,4,383.56,5,1,1534.24,76.71,1457.53,1014.63,442.9
ORD100048,2023-07-25,1573,Hogar,Bogotá,App,5,287.94,10,0,1439.7,143.97,1295.73,963.96,331.77
ORD100049,2025-10-22,3333,Deportes,Centro,Web,1,129.68,10,0,129.68,12.97,116.71,89.27,27.44
ORD100050,2025-10-18,1988,Deportes,Bogotá,Web,6,28.39,15,0,170.34,25.55,144.79,105.7,39.09
ORD100051,2024-07-19,1458,Belleza,Costa,Web,3,204.21,5,0,612.63,30.63,582.0,327.52,254.48
ORD100052,2024-12-03,3173,Belleza,Bogotá,Web,5,282.89,15,0,1414.45,212.17,1202.28,775.26,427.02
ORD100053,2024-02-06,2522,Belleza,Antioquia,App,6,107.93,5,0,647.58,32.38,615.2,433.44,181.76
ORD100054,2024-12-30,3472,Deportes,Valle,Web,4,218.99,10,0,875.96,87.6,788.36,541.7,246.66
ORD100055,2023-06-11,3601,Hogar,Costa,App,6,315.29,15,0,1891.74,283.76,1607.98,903.84,704.14
ORD100056,2023-07-21,3657,Tecnología,Valle,Web,4,363.16,0,0,1452.64,0.0,1452.64,1183.57,269.07
ORD100057,2025-09-22,2984,Moda,Centro,Marketplace,5,45.32,5,0,226.6,11.33,215.27,173.97,41.3
ORD100058,2023-09-27,2566,Belleza,Costa,Web,2,338.81,20,0,677.62,135.52,542.1,411.41,130.69
ORD100059,2025-03-26,3159,Deportes,Antioquia,Web,3,47.2,5,0,141.6,7.08,134.52,76.0,58.52
ORD100060,2024-03-31,3449,Belleza,Valle,Web,6,33.53,15,0,201.18,30.18,171.0,113.91,57.09
ORD100061,2025-10-13,1121,Deportes,Bogotá,Web,6,93.16,0,0,558.96,0.0,558.96,369.27,189.69
ORD100062,2023-10-23,1272,Tecnología,Bogotá,App,5,333.75,10,0,1668.75,166.88,1501.87,1052.31,449.56
ORD100063,2024-12-20,2317,Tecnología,Bogotá,App,5,45.35,15,1,226.75,34.01,192.74,108.92,83.82
ORD100064,2023-12-04,1397,Hogar,Costa,Web,4,30.03,5,0,120.12,6.01,114.11,75.81,38.3
ORD100065,2025-05-28,3518,Tecnología,Antioquia,Web,1,76.62,5,0,76.62,3.83,72.79,54.93,17.86
ORD100066,2025-12-12,1984,Moda,Antioquia,App,1,475.87,0,0,475.87,0.0,475.87,389.96,85.91
ORD100067,2025-03-02,2230,Belleza,Antioquia,Web,1,455.49,0,0,455.49,0.0,455.49,323.75,131.74
ORD100068,2023-08-05,2133,Deportes,Valle,Web,4,61.5,5,0,246.0,12.3,233.7,187.89,45.81
ORD100069,2025-02-02,2301,Hogar,Costa,App,1,165.93,15,0,165.93,24.89,141.04,115.6,25.44
ORD100070,2023-07-07,2910,Tecnología,Bogotá,Web,5,474.7,15,0,2373.5,356.02,2017.48,1346.45,671.03
ORD100071,2024-01-15,3616,Hogar,Valle,App,2,66.89,10,0,133.78,13.38,120.4,87.96,32.44
ORD100072,2024-05-07,2505,Moda,Antioquia,App,2,65.41,15,0,130.82,19.62,111.2,67.56,43.64
ORD100073,2025-11-30,2916,Hogar,Bogotá,App,2,61.28,10,0,122.56,12.26,110.3,74.83,35.47
ORD100074,2023-01-15,3944,Tecnología,Costa,App,1,488.71,10,0,488.71,48.87,439.84,251.22,188.62
ORD100075,2023-03-06,1819,Hogar,Centro,Web,2,376.69,10,0,753.38,75.34,678.04,378.26,299.78
ORD100076,2024-06-04,3900,Tecnología,Antioquia,Web,6,122.95,5,0,737.7,36.89,700.81,554.4,146.41
ORD100077,2024-10-09,3757,Belleza,Antioquia,Marketplace,1,42.05,5,0,42.05,2.1,39.95,31.23,8.72
ORD100078,2025-12-22,2956,Tecnología,Antioquia,Web,6,483.32,0,0,2899.92,0.0,2899.92,1839.3,1060.62
ORD100079,2024-08-15,3368,Tecnología,Antioquia,App,5,224.23,15,0,1121.15,168.17,952.98,641.72,311.26
ORD100080,2024-01-27,1178,Tecnología,Bogotá,App,6,307.22,0,0,1843.32,0.0,1843.32,1259.49,583.83
ORD100081,2024-02-23,1896,Hogar,Costa,App,5,154.01,0,0,770.05,0.0,770.05,531.79,238.26
ORD100082,2023-10-16,3266,Moda,Valle,Web,4,384.01,5,0,1536.04,76.8,1459.24,855.6,603.64
ORD100083,2024-01-14,3836,Deportes,Bogotá,Web,4,114.47,20,0,457.88,91.58,366.3,278.12,88.18
ORD100084,2023-08-19,2972,Hogar,Costa,Web,6,397.72,10,0,2386.32,238.63,2147.69,1382.92,764.77
ORD100085,2025-10-14,2551,Moda,Valle,Web,3,130.69,5,0,392.07,19.6,372.47,208.05,164.42
ORD100086,2023-02-10,1491,Hogar,Antioquia,Marketplace,5,67.0,10,0,335.0,33.5,301.5,220.9,80.6
ORD100087,2025-11-17,1060,Moda,Costa,App,1,249.83,15,0,249.83,37.47,212.36,164.38,47.98
ORD100088,2023-05-15,2077,Tecnología,Antioquia,App,3,410.34,5,0,1231.02,61.55,1169.47,933.11,236.36
ORD100089,2023-07-20,2703,Hogar,Costa,Web,5,204.74,5,1,1023.7,51.18,972.52,711.97,260.55
ORD100090,2025-02-18,3585,Deportes,Centro,Web,1,33.86,5,1,33.86,1.69,32.17,19.35,12.82
ORD100091,2025-07-18,3895,Deportes,Antioquia,Web,5,285.59,0,0,1427.95,0.0,1427.95,1012.76,415.19
ORD100092,2025-11-22,1064,Deportes,Antioquia,Web,5,346.63,15,0,1733.15,259.97,1473.18,1172.91,300.27
ORD100093,2025-12-07,1585,Tecnología,Antioquia,Web,1,375.53,10,0,375.53,37.55,337.98,217.88,120.1
ORD100094,2024-05-17,2727,Tecnología,Bogotá,Web,5,212.92,10,0,1064.6,106.46,958.14,773.61,184.53
ORD100095,2024-02-11,3218,Belleza,Valle,Web,5,66.57,5,0,332.85,16.64,316.21,182.26,133.95
ORD100096,2025-03-15,1534,Tecnología,Antioquia,Web,5,300.48,20,1,1502.4,300.48,1201.92,897.32,304.6
ORD100097,2023-04-09,3740,Tecnología,Antioquia,Marketplace,4,178.18,0,0,712.72,0.0,712.72,415.07,297.65
ORD100098,2024-11-14,3155,Tecnología,Bogotá,Web,2,474.51,0,0,949.02,0.0,949.02,726.66,222.36
ORD100099,2024-12-26,2870,Hogar,Bogotá,App,5,261.3,0,0,1306.5,0.0,1306.5,753.02,553.48
ORD100100,2025-08-18,3861,Tecnología,Centro,Web,1,246.69,10,0,246.69,24.67,222.02,141.64,80.38
ORD100101,2024-09-04,2004,Hogar,Costa,Web,6,168.42,10,0,1010.52,101.05,909.47,690.97,218.5
ORD100102,2024-10-04,3499,Hogar,Antioquia,Web,5,182.62,5,0,913.1,45.66,867.44,584.87,282.57
ORD100103,2025-10-25,2229,Belleza,Costa,App,4,266.12,10,0,1064.48,106.45,958.03,755.24,202.79
ORD100104,2024-05-17,3637,Tecnología,Bogotá,Web,4,167.2,0,0,668.8,0.0,668.8,440.38,228.42
ORD100105,2025-02-05,2039,Hogar,Bogotá,Web,6,448.31,0,0,2689.86,0.0,2689.86,2202.02,487.84
ORD100106,2024-02-02,1326,Moda,Centro,App,5,230.73,0,0,1153.65,0.0,1153.65,640.32,513.33
ORD100107,2025-05-20,1607,Moda,Valle,Web,3,160.17,5,0,480.51,24.03,456.48,336.85,119.63
ORD100108,2025-03-05,3706,Hogar,Bogotá,Web,6,94.59,15,0,567.54,85.13,482.41,384.62,97.79
ORD100109,2024-01-28,1001,Deportes,Antioquia,Web,2,342.73,10,0,685.46,68.55,616.91,428.58,188.33
ORD100110,2023-07-26,2033,Tecnología,Centro,Web,1,32.38,0,0,32.38,0.0,32.38,26.45,5.93
ORD100111,2025-11-04,3481,Deportes,Valle,App,1,236.0,0,0,236.0,0.0,236.0,174.92,61.08
ORD100112,2025-06-10,1124,Hogar,Centro,App,1,284.06,15,0,284.06,42.61,241.45,160.8,80.65
ORD100113,2025-05-13,2104,Tecnología,Bogotá,Web,1,183.1,0,0,183.1,0.0,183.1,126.18,56.92
ORD100114,2025-01-12,3532,Belleza,Valle,Web,4,379.91,5,0,1519.64,75.98,1443.66,1136.04,307.62
ORD100115,2024-07-17,3699,Moda,Costa,App,2,344.32,0,0,688.64,0.0,688.64,556.8,131.84
ORD100116,2025-10-17,2861,Tecnología,Valle,Web,5,486.27,5,0,2431.35,121.57,2309.78,1617.05,692.73
ORD100117,2023-04-06,2173,Tecnología,Antioquia,Marketplace,5,264.21,5,0,1321.05,66.05,1255.0,794.33,460.67
ORD100118,2024-04-29,3847,Tecnología,Costa,Web,3,278.15,0,0,834.45,0.0,834.45,512.87,321.58
ORD100119,2023-08-19,3920,Moda,Costa,App,5,138.0,5,0,690.0,34.5,655.5,444.96,210.54
ORD100120,2025-01-18,1128,Tecnología,Antioquia,Marketplace,2,205.03,5,0,410.06,20.5,389.56,245.43,144.13
ORD100121,2024-06-24,1437,Tecnología,Costa,App,5,32.89,0,0,164.45,0.0,164.45,109.13,55.32
ORD100122,2025-11-25,1750,Tecnología,Bogotá,Web,4,350.85,10,0,1403.4,140.34,1263.06,979.26,283.8
ORD100123,2024-06-08,3548,Deportes,Valle,App,6,169.58,15,0,1017.48,152.62,864.86,585.89,278.97
ORD100124,2024-07-31,2221,Deportes,Valle,App,5,279.38,0,0,1396.9,0.0,1396.9,1010.01,386.89
ORD100125,2024-11-12,3258,Deportes,Antioquia,App,1,142.4,0,0,142.4,0.0,142.4,81.78,60.62
ORD100126,2024-07-10,1901,Tecnología,Bogotá,Web,1,318.1,0,0,318.1,0.0,318.1,240.41,77.69
ORD100127,2025-10-09,3092,Belleza,Costa,App,6,234.84,5,0,1409.04,70.45,1338.59,910.76,427.83
ORD100128,2024-10-07,2302,Moda,Valle,Web,1,251.29,15,0,251.29,37.69,213.6,138.3,75.3
ORD100129,2025-03-06,3582,Belleza,Valle,Web,1,472.45,0,1,472.45,0.0,472.45,337.79,134.66
ORD100130,2025-11-17,2433,Hogar,Valle,App,4,358.96,5,1,1435.84,71.79,1364.05,787.79,576.26
ORD100131,2023-07-09,3508,Hogar,Valle,Web,4,145.71,0,0,582.84,0.0,582.84,385.71,197.13
ORD100132,2024-09-24,1390,Deportes,Centro,App,4,261.88,5,0,1047.52,52.38,995.14,765.23,229.91
ORD100133,2024-09-19,2067,Tecnología,Antioquia,Marketplace,5,244.0,0,0,1220.0,0.0,1220.0,757.32,462.68
ORD100134,2025-08-30,1026,Moda,Costa,Marketplace,6,401.63,15,0,2409.78,361.47,2048.31,1632.11,416.2
ORD100135,2024-12-10,3841,Deportes,Costa,App,1,420.01,10,0,420.01,42.0,378.01,269.51,108.5
ORD100136,2024-10-10,1547,Deportes,Antioquia,Web,3,156.05,0,0,468.15,0.0,468.15,325.84,142.31
ORD100137,2023-11-14,3668,Belleza,Bogotá,Web,6,414.15,15,0,2484.9,372.74,2112.16,1389.56,722.6
ORD100138,2024-11-14,1566,Moda,Antioquia,Web,3,106.16,0,0,318.48,0.0,318.48,238.97,79.51
ORD100139,2024-10-25,1703,Tecnología,Valle,Web,1,386.13,0,1,386.13,0.0,386.13,271.22,114.91
ORD100140,2024-03-17,2242,Tecnología,Valle,Web,2,139.42,15,0,278.84,41.83,237.01,181.33,55.68
ORD100141,2024-07-17,1184,Hogar,Antioquia,App,6,163.01,0,0,978.06,0.0,978.06,625.52,352.54
ORD100142,2025-08-09,2590,Moda,Antioquia,Web,5,429.18,15,0,2145.9,321.88,1824.02,1348.94,475.08
ORD100143,2024-11-29,2913,Tecnología,Costa,Web,3,221.64,10,0,664.92,66.49,598.43,481.57,116.86
ORD100144,2023-04-23,1847,Tecnología,Costa,App,6,495.47,20,0,2972.82,594.56,2378.26,1487.79,890.47
ORD100145,2023-01-02,1598,Moda,Centro,Web,6,92.93,10,0,557.58,55.76,501.82,408.92,92.9
ORD100146,2024-10-03,1805,Deportes,Centro,Web,4,242.41,0,0,969.64,0.0,969.64,640.78,328.86
ORD100147,2023-08-08,2357,Belleza,Valle,Web,2,371.58,15,0,743.16,111.47,631.69,354.0,277.69
ORD100148,2025-05-04,3126,Deportes,Centro,App,4,22.58,0,0,90.32,0.0,90.32,58.4,31.92
ORD100149,2024-01-20,3626,Deportes,Centro,App,2,92.89,10,0,185.78,18.58,167.2,98.72,68.48
ORD100150,2025-12-12,2878,Moda,Bogotá,App,2,29.77,5,0,59.54,2.98,56.56,35.75,20.81
ORD100151,2024-12-30,3460,Belleza,Antioquia,Web,5,496.58,10,0,2482.9,248.29,2234.61,1286.94,947.67
ORD100152,2023-09-04,1545,Moda,Costa,App,6,385.1,10,0,2310.6,231.06,2079.54,1243.8,835.74
ORD100153,2025-04-15,2632,Deportes,Centro,App,4,199.31,15,0,797.24,119.59,677.65,395.89,281.76
ORD100154,2023-07-22,3216,Belleza,Costa,Web,4,95.02,15,0,380.08,57.01,323.07,181.48,141.59
ORD100155,2023-05-03,3728,Belleza,Centro,Web,3,63.38,15,0,190.14,28.52,161.62,101.82,59.8
ORD100156,2024-02-05,3630,Hogar,Centro,App,6,275.32,5,0,1651.92,82.6,1569.32,1261.83,307.49
ORD100157,2025-02-05,3562,Tecnología,Valle,Web,1,488.43,15,0,488.43,73.26,415.17,334.77,80.4
ORD100158,2023-10-21,3079,Tecnología,Bogotá,App,1,343.81,10,0,343.81,34.38,309.43,240.92,68.51
ORD100159,2023-10-07,3334,Tecnología,Antioquia,Web,3,195.27,15,0,585.81,87.87,497.94,275.5,222.44
ORD100160,2025-06-02,3641,Tecnología,Antioquia,App,2,260.41,20,0,520.82,104.16,416.66,232.33,184.33
ORD100161,2023-07-17,2926,Tecnología,Valle,Web,3,499.47,0,0,1498.41,0.0,1498.41,828.32,670.09
ORD100162,2025-09-08,1616,Hogar,Valle,Web,3,269.01,5,0,807.03,40.35,766.68,497.57,269.11
ORD100163,2025-01-21,3317,Moda,Antioquia,Web,4,482.82,15,0,1931.28,289.69,1641.59,1337.35,304.24
ORD100164,2023-05-24,2203,Deportes,Antioquia,Marketplace,3,27.85,0,0,83.55,0.0,83.55,66.18,17.37
ORD100165,2024-08-31,2759,Tecnología,Bogotá,App,2,366.06,5,0,732.12,36.61,695.51,429.58,265.93
ORD100166,2023-07-06,3565,Moda,Centro,App,1,321.04,15,0,321.04,48.16,272.88,180.31,92.57
ORD100167,2024-04-08,3630,Deportes,Bogotá,App,5,348.96,0,1,1744.8,0.0,1744.8,1348.02,396.78
ORD100168,2024-10-21,1225,Moda,Antioquia,Web,6,293.87,15,0,1763.22,264.48,1498.74,1131.28,367.46
ORD100169,2025-02-02,1669,Belleza,Centro,App,3,41.2,20,0,123.6,24.72,98.88,57.92,40.96
ORD100170,2025-08-12,2763,Tecnología,Antioquia,Web,6,91.79,0,0,550.74,0.0,550.74,318.93,231.81
ORD100171,2024-02-07,1916,Tecnología,Bogotá,Web,3,462.68,10,0,1388.04,138.8,1249.24,870.48,378.76
ORD100172,2023-05-27,3173,Hogar,Bogotá,Web,6,131.8,0,0,790.8,0.0,790.8,456.74,334.06
ORD100173,2025-05-13,3121,Tecnología,Bogotá,Web,4,496.61,10,0,1986.44,198.64,1787.8,1381.53,406.27
ORD100174,2024-05-03,2214,Moda,Centro,Web,4,346.2,5,0,1384.8,69.24,1315.56,813.54,502.02
ORD100175,2025-07-17,2705,Hogar,Costa,Web,6,233.29,15,0,1399.74,209.96,1189.78,714.88,474.9
ORD100176,2024-07-04,2842,Hogar,Costa,Web,3,461.62,0,0,1384.86,0.0,1384.86,831.1,553.76
ORD100177,2023-12-04,2983,Tecnología,Antioquia,App,3,401.59,10,0,1204.77,120.48,1084.29,609.6,474.69
ORD100178,2025-05-21,1055,Hogar,Centro,Web,2,225.9,10,0,451.8,45.18,406.62,294.11,112.51
ORD100179,2024-10-02,1719,Moda,Valle,Web,1,52.92,0,1,52.92,0.0,52.92,31.46,21.46
ORD100180,2024-04-17,3600,Moda,Costa,App,1,436.79,15,0,436.79,65.52,371.27,227.59,143.68
ORD100181,2023-05-31,3079,Tecnología,Centro,Web,5,387.22,20,0,1936.1,387.22,1548.88,1166.08,382.8
ORD100182,2023-09-20,1573,Tecnología,Centro,App,1,399.55,10,1,399.55,39.96,359.59,203.36,156.23
ORD100183,2023-05-24,1666,Tecnología,Costa,App,5,377.53,10,0,1887.65,188.76,1698.89,1027.39,671.5
ORD100184,2023-12-12,1283,Tecnología,Centro,Web,4,152.36,5,0,609.44,30.47,578.97,341.78,237.19
ORD100185,2024-09-15,2744,Deportes,Centro,Web,5,432.25,5,0,2161.25,108.06,2053.19,1131.94,921.25
ORD100186,2025-10-13,3234,Tecnología,Costa,Web,5,21.07,0,0,105.35,0.0,105.35,73.28,32.07
ORD100187,2025-05-30,1497,Deportes,Bogotá,Web,1,133.89,5,0,133.89,6.69,127.2,76.49,50.71
ORD100188,2023-01-02,2465,Deportes,Antioquia,Web,3,42.35,5,0,127.05,6.35,120.7,87.01,33.69
ORD100189,2025-06-15,1129,Tecnología,Valle,Web,4,73.09,10,0,292.36,29.24,263.12,180.36,82.76
ORD100190,2023-09-11,1638,Hogar,Antioquia,Web,2,275.54,0,0,551.08,0.0,551.08,402.47,148.61
ORD100191,2024-03-28,3161,Belleza,Bogotá,App,5,37.88,0,0,189.4,0.0,189.4,154.37,35.03
ORD100192,2025-11-26,3060,Deportes,Bogotá,Web,5,107.06,10,0,535.3,53.53,481.77,293.57,188.2
ORD100193,2025-10-11,3491,Hogar,Centro,App,6,131.72,0,0,790.32,0.0,790.32,576.77,213.55
ORD100194,2023-01-09,3494,Deportes,Antioquia,Web,5,334.56,5,0,1672.8,83.64,1589.16,1231.72,357.44
ORD100195,2025-03-26,1985,Deportes,Bogotá,App,3,245.03,0,0,735.09,0.0,735.09,594.32,140.77
ORD100196,2023-07-27,1992,Hogar,Antioquia,Web,2,240.04,5,0,480.08,24.0,456.08,327.48,128.6
ORD100197,2024-02-08,3762,Belleza,Bogotá,App,6,388.85,20,0,2333.1,466.62,1866.48,1092.5,773.98
ORD100198,2023-06-01,3121,Hogar,Valle,Web,1,239.23,15,0,239.23,35.88,203.35,114.8,88.55
ORD100199,2023-02-23,3584,Moda,Bogotá,App,4,187.27,0,0,749.08,0.0,749.08,468.32,280.76
ORD100200,2024-09-19,1100,Belleza,Antioquia,Web,3,481.98,5,0,1445.94,72.3,1373.64,1099.74,273.9
ORD100201,2024-08-09,3223,Deportes,Centro,Web,2,23.98,15,0,47.96,7.19,40.77,28.33,12.44
ORD100202,2023-04-14,1426,Hogar,Antioquia,Web,4,166.59,15,0,666.36,99.95,566.41,400.12,166.29
ORD100203,2023-09-11,1040,Tecnología,Costa,Web,1,312.51,0,0,312.51,0.0,312.51,223.4,89.11
ORD100204,2024-05-24,1428,Moda,Antioquia,Web,4,395.75,15,0,1583.0,237.45,1345.55,860.75,484.8
ORD100205,2023-04-09,1343,Deportes,Valle,Web,6,411.88,0,0,2471.28,0.0,2471.28,1480.37,990.91
ORD100206,2023-06-02,1365,Moda,Valle,Web,5,42.12,5,0,210.6,10.53,200.07,161.59,38.48
ORD100207,2025-07-02,1608,Belleza,Valle,Web,5,360.38,0,0,1801.9,0.0,1801.9,1358.55,443.35
ORD100208,2025-05-27,3704,Deportes,Bogotá,App,3,365.72,20,0,1097.16,219.43,877.73,603.86,273.87
ORD100209,2023-12-04,1727,Hogar,Valle,Marketplace,4,122.76,10,0,491.04,49.1,441.94,288.02,153.92
ORD100210,2025-04-01,3276,Tecnología,Antioquia,Web,5,74.13,0,0,370.65,0.0,370.65,252.17,118.48
ORD100211,2025-08-14,1824,Hogar,Centro,App,3,379.85,10,0,1139.55,113.96,1025.59,573.4,452.19
ORD100212,2023-06-10,2375,Moda,Valle,App,3,139.76,0,0,419.28,0.0,419.28,258.62,160.66
ORD100213,2025-03-11,1888,Moda,Antioquia,Web,6,20.8,0,0,124.8,0.0,124.8,77.09,47.71
ORD100214,2024-02-02,3043,Moda,Bogotá,Web,3,127.31,5,0,381.93,19.1,362.83,243.18,119.65
ORD100215,2025-03-26,2341,Hogar,Bogotá,Web,1,34.91,10,0,34.91,3.49,31.42,19.29,12.13
ORD100216,2024-02-05,3883,Hogar,Centro,Marketplace,5,139.61,0,0,698.05,0.0,698.05,418.88,279.17
ORD100217,2024-10-01,2296,Tecnología,Centro,Web,5,180.81,5,0,904.05,45.2,858.85,649.89,208.96
ORD100218,2025-11-22,1116,Moda,Antioquia,App,2,150.27,5,0,300.54,15.03,285.51,225.91,59.6
ORD100219,2024-11-18,3865,Tecnología,Centro,App,1,461.57,10,0,461.57,46.16,415.41,236.01,179.4
ORD100220,2024-04-04,3415,Hogar,Centro,Web,5,131.62,0,0,658.1,0.0,658.1,399.21,258.89
ORD100221,2025-08-12,2117,Hogar,Bogotá,Web,6,244.42,0,0,1466.52,0.0,1466.52,1112.94,353.58
ORD100222,2024-04-14,1167,Moda,Antioquia,App,5,479.57,0,0,2397.85,0.0,2397.85,1847.0,550.85
ORD100223,2025-11-11,2738,Tecnología,Centro,Web,2,442.02,5,0,884.04,44.2,839.84,575.33,264.51
ORD100224,2025-01-19,2364,Deportes,Antioquia,Web,4,168.44,10,0,673.76,67.38,606.38,447.28,159.1
ORD100225,2023-02-07,3708,Moda,Valle,Web,4,176.72,15,0,706.88,106.03,600.85,343.06,257.79
ORD100226,2023-08-18,1694,Moda,Bogotá,Marketplace,1,304.8,0,0,304.8,0.0,304.8,237.55,67.25
ORD100227,2024-07-16,1924,Deportes,Bogotá,Web,3,460.57,10,0,1381.71,138.17,1243.54,963.54,280.0
ORD100228,2024-03-13,1151,Hogar,Bogotá,App,2,24.8,0,0,49.6,0.0,49.6,36.57,13.03
ORD100229,2023-01-27,1585,Hogar,Costa,Web,2,208.7,0,0,417.4,0.0,417.4,332.84,84.56
ORD100230,2023-08-14,1912,Belleza,Antioquia,Web,5,427.89,5,0,2139.45,106.97,2032.48,1144.0,888.48
