orden_id,cliente_id,fecha_orden,canal,monto_orden,ciudad,segmento,fecha_registro,metodo_pago,estado_pago,fecha_pago,dias_pago
O000109,393,2024-02-25,Online,418.77,Bucaramanga,SMB,2023-09-25,Transferencia,Pagado,2024-02-29,4.0
O000110,1009,2024-04-13,Online,310.24,Barranquilla,SMB,2024-11-15,Tarjeta,Pagado,2024-04-20,7.0
O000111,897,2024-04-21,Online,808.68,Cali,Enterprise,2022-01-04,Tarjeta,Pagado,2024-04-23,2.0
O000112,918,2025-07-09,Online,213.81,Barranquilla,Mid-Market,2023-08-10,Tarjeta,Pagado,2025-07-13,4.0
O000113,598,2025-07-28,Online,583.91,Barranquilla,SMB,2022-01-15,Tarjeta,Pagado,2025-07-31,3.0
O000114,585,2025-06-28,Online,316.47,Cali,Mid-Market,2023-08-17,,,,
O000115,581,2024-01-18,Fuerza Comercial,620.42,Barranquilla,SMB,2022-08-21,PSE,Pagado,2024-01-27,9.0
O000116,858,2024-09-13,Online,660.45,Cali,SMB,2024-11-20,Tarjeta,Pagado,2024-09-15,2.0
O000117,510,2025-06-15,Fuerza Comercial,648.24,Bogotá,Enterprise,2023-09-04,Transferencia,Pagado,2025-06-22,7.0
O000118,71,2024-07-03,Online,485.43,Bogotá,SMB,2022-02-08,PSE,Pagado,2024-07-08,5.0
O000119,639,2024-04-15,Fuerza Comercial,321.59,Bucaramanga,SMB,2022-04-28,,,,
O000120,400,2024-08-13,Online,498.59,Cali,SMB,2023-12-28,Tarjeta,Pagado,2024-08-17,4.0
O000121,419,2025-02-10,Fuerza Comercial,445.24,Bogotá,Mid-Market,2024-06-13,PSE,Pagado,2025-02-16,6.0
O000122,342,2024-07-19,Fuerza Comercial,972.26,Cali,Mid-Market,2024-11-06,Transferencia,Pagado,2024-07-25,6.0
O000123,590,2024-06-28,Partners,274.2,Medellín,Mid-Market,2024-05-27,Efectivo,Pagado,2024-07-03,5.0
O000124,97,2025-09-17,Online,670.23,Medellín,SMB,2024-10-20,Tarjeta,Pagado,2025-09-19,2.0
O000125,115,2024-11-16,Online,716.48,Medellín,SMB,2023-03-02,Tarjeta,Pagado,2024-11-23,7.0
O000126,487,2025-09-16,Online,421.33,Medellín,SMB,2024-04-02,Tarjeta,Pagado,2025-09-22,6.0
O000127,1146,2024-03-01,Online,582.76,Medellín,Enterprise,2023-02-08,Transferencia,Pagado,2024-03-03,2.0
O000128,366,2024-08-30,Online,811.0,Bucaramanga,SMB,2023-03-09,Tarjeta,Pagado,2024-09-07,8.0
O000129,158,2025-01-30,Online,223.48,Barranquilla,SMB,2022-04-07,Tarjeta,Pagado,2025-02-04,5.0
O000130,302,2025-01-24,Partners,681.9,Bogotá,SMB,2022-06-26,Tarjeta,Pagado,2025-01-25,1.0
O000131,357,2025-12-04,Fuerza Comercial,394.46,Bucaramanga,Mid-Market,2024-05-11,PSE,Pagado,2025-12-07,3.0
O000132,874,2024-11-04,Partners,427.72,Bogotá,SMB,2022-12-30,Transferencia,Pagado,2024-11-10,6.0
O000133,618,2025-05-06,Partners,923.03,Barranquilla,Mid-Market,2024-05-12,,,,
O000134,422,2025-01-07,Fuerza Comercial,857.58,Cali,Mid-Market,2022-12-19,Transferencia,Pagado,2025-01-14,7.0
O000135,489,2025-04-22,Online,427.6,Medellín,Mid-Market,2023-06-01,Tarjeta,Pagado,2025-04-30,8.0
O000136,1144,2024-10-05,Online,189.3,Cali,Enterprise,2025-02-14,Tarjeta,Pagado,2024-10-10,5.0
O000137,773,2025-07-31,Fuerza Comercial,287.14,Cali,SMB,2022-07-23,Tarjeta,Pagado,2025-08-02,2.0
O000138,383,2024-12-22,Fuerza Comercial,536.9,Cali,SMB,2022-06-17,Tarjeta,Pendiente,2024-12-25,3.0
O000139,33,2024-08-21,Fuerza Comercial,859.67,Bogotá,Enterprise,2025-02-02,PSE,Pagado,2024-08-23,2.0
O000140,11,2024-02-01,Fuerza Comercial,292.19,Bogotá,Mid-Market,2023-12-13,Tarjeta,Pagado,2024-02-01,0.0
O000141,28,2025-05-22,Fuerza Comercial,550.19,Medellín,SMB,2024-09-25,PSE,Pagado,2025-05-22,0.0
O000142,765,2025-10-08,Fuerza Comercial,915.57,Bucaramanga,SMB,2022-12-01,Tarjeta,Pagado,2025-10-10,2.0
O000143,1162,2024-08-13,Online,302.76,Bogotá,SMB,2022-03-10,Transferencia,Pagado,2024-08-13,0.0
O000144,481,2024-05-20,Online,268.75,Bogotá,SMB,2022-05-11,Tarjeta,Pagado,2024-05-29,9.0
O000145,1047,2024-06-19,Online,276.94,Bucaramanga,Enterprise,2025-01-10,Efectivo,Pagado,2024-06-28,9.0
O000146,978,2024-10-16,Online,313.65,Medellín,SMB,2022-12-06,PSE,Pagado,2024-10-23,7.0
O000147,941,2025-07-04,Online,1001.23,Bucaramanga,SMB,2024-02-09,Tarjeta,Pagado,2025-07-05,1.0
O000148,1146,2025-07-24,Online,680.86,Medellín,Enterprise,2023-02-08,PSE,Pagado,2025-07-31,7.0
O000149,455,2025-01-05,Fuerza Comercial,449.73,Bucaramanga,SMB,2022-06-28,PSE,Pagado,2025-01-06,1.0
O000150,413,2025-12-17,Online,275.34,Bucaramanga,Mid-Market,2023-05-19,Transferencia,Pagado,2025-12-22,5.0
O000151,486,2025-10-20,Online,341.26,Barranquilla,Mid-Market,2022-09-29,Transferencia,Pagado,2025-10-25,5.0
O000152,1162,2024-07-08,Fuerza Comercial,343.69,Bogotá,SMB,2022-03-10,PSE,Pagado,2024-07-08,0.0
O000153,1070,2025-05-20,Online,46.65,Bogotá,SMB,2022-12-29,PSE,Pendiente,2025-05-25,5.0
O000154,709,2025-08-13,Partners,502.41,Bucaramanga,SMB,2024-03-26,Tarjeta,Pagado,2025-08-21,8.0
O000155,682,2024-04-30,Online,420.16,Bogotá,Enterprise,2024-04-30,PSE,Pagado,2024-05-01,1.0
O000156,1002,2025-04-02,Online,584.19,Bogotá,SMB,2023-12-26,PSE,Pagado,2025-04-08,6.0
O000157,1107,2025-06-10,Online,582.34,Medellín,Mid-Market,2022-12-21,Efectivo,Pagado,2025-06-16,6.0
O000158,483,2024-12-28,Fuerza Comercial,197.43,Cali,SMB,2024-03-26,PSE,Pagado,2024-12-30,2.0
O000159,167,2024-10-14,Fuerza Comercial,262.18,Bogotá,SMB,2022-08-03,Tarjeta,Pagado,2024-10-17,3.0
O000160,204,2025-03-04,Online,100.23,Cali,SMB,2023-09-06,PSE,Pendiente,2025-03-05,1.0
O000161,589,2024-04-15,Online,204.96,Bucaramanga,SMB,2023-11-24,Tarjeta,Pendiente,2024-04-22,7.0
O000162,884,2024-08-03,Online,666.2,Bogotá,Mid-Market,2022-12-04,Tarjeta,Pagado,2024-08-09,6.0
O000163,812,2025-09-12,Online,255.41,Medellín,Mid-Market,2022-01-01,Efectivo,Pagado,2025-09-18,6.0
O000164,300,2024-07-21,Partners,393.04,Barranquilla,SMB,2025-03-02,Tarjeta,Pagado,2024-07-23,2.0
O000165,255,2025-08-01,Online,566.75,Bucaramanga,SMB,2024-07-17,Efectivo,Pagado,2025-08-10,9.0
O000166,90,2024-08-02,Fuerza Comercial,324.67,Cali,SMB,2024-07-31,Tarjeta,Pagado,2024-08-09,7.0
O000167,1051,2024-04-16,Fuerza Comercial,474.19,Medellín,Mid-Market,2022-03-18,Tarjeta,Pagado,2024-04-21,5.0
O000168,1063,2024-10-03,Partners,524.56,Bucaramanga,Enterprise,2024-10-29,PSE,Pagado,2024-10-12,9.0
O000169,119,2025-06-18,Online,364.79,Bogotá,SMB,2024-08-04,Efectivo,Pagado,2025-06-23,5.0
O000170,1146,2025-07-12,Online,767.68,Medellín,Enterprise,2023-02-08,Efectivo,Pagado,2025-07-20,8.0
O000171,1088,2024-02-23,Fuerza Comercial,302.87,Cali,Mid-Market,2022-09-17,Tarjeta,Pagado,2024-02-24,1.0
O000172,1107,2024-04-04,Online,367.09,Medellín,Mid-Market,2022-12-21,Tarjeta,Pendiente,2024-04-06,2.0
O000173,1168,2025-03-11,Online,367.68,Bogotá,Mid-Market,2023-07-04,Tarjeta,Pagado,2025-03-20,9.0
O000174,566,2025-12-08,Fuerza Comercial,317.03,Barranquilla,SMB,2023-04-28,Tarjeta,Pendiente,2025-12-09,1.0
O000175,48,2024-03-24,Fuerza Comercial,357.72,Bucaramanga,SMB,2025-02-12,Transferencia,Pagado,2024-03-31,7.0
O000176,426,2024-10-30,Online,718.21,Bucaramanga,Enterprise,2025-06-01,PSE,Pagado,2024-11-06,7.0
O000177,313,2024-03-29,Fuerza Comercial,891.37,Bucaramanga,Enterprise,2023-12-17,Transferencia,Pagado,2024-04-05,7.0
O000178,1120,2025-11-13,Online,185.45,Bogotá,Mid-Market,2024-03-23,PSE,Pagado,2025-11-15,2.0
O000179,847,2024-08-06,Fuerza Comercial,564.14,Barranquilla,Mid-Market,2023-05-12,Tarjeta,Pendiente,2024-08-14,8.0
O000180,104,2024-11-30,Online,273.55,Bogotá,SMB,2022-06-09,Tarjeta,Pagado,2024-12-02,2.0
O000181,177,2025-11-11,Fuerza Comercial,638.74,Medellín,SMB,2022-12-28,Tarjeta,Pagado,2025-11-19,8.0
O000182,246,2024-02-24,Online,234.17,Cali,SMB,2023-01-31,PSE,Pagado,2024-03-02,7.0
O000183,598,2025-01-18,Fuerza Comercial,497.71,Barranquilla,SMB,2022-01-15,Efectivo,Pagado,2025-01-26,8.0
O000184,1164,2024-02-16,Online,944.03,Barranquilla,SMB,2022-03-29,PSE,Pagado,2024-02-25,9.0
O000185,132,2025-05-13,Online,509.85,Barranquilla,SMB,2023-03-19,PSE,Pagado,2025-05-19,6.0
O000186,1001,2024-09-16,Online,575.08,Bucaramanga,SMB,2022-10-14,Tarjeta,Pagado,2024-09-25,9.0
O000187,793,2025-12-26,Fuerza Comercial,921.18,Bogotá,Mid-Market,2022-07-01,Tarjeta,Pagado,2025-12-27,1.0
O000188,596,2024-02-04,Fuerza Comercial,819.49,Bucaramanga,Mid-Market,2025-05-05,Tarjeta,Pagado,2024-02-10,6.0
O000189,842,2024-01-21,Online,404.74,Barranquilla,Mid-Market,2022-01-20,Transferencia,Pagado,2024-01-29,8.0
O000190,817,2025-09-13,Fuerza Comercial,381.51,Cali,SMB,2023-09-22,PSE,Pagado,2025-09-16,3.0
O000191,307,2024-01-17,Fuerza Comercial,860.21,Bogotá,SMB,2023-05-24,PSE,Pagado,2024-01-21,4.0
O000192,889,2024-04-16,Online,618.53,Bucaramanga,SMB,2025-04-11,Transferencia,Pagado,2024-04-16,0.0
O000193,955,2025-08-03,Online,233.84,Bucaramanga,SMB,2022-11-04,Transferencia,Pagado,2025-08-06,3.0
O000194,638,2025-06-13,Fuerza Comercial,678.26,Bucaramanga,SMB,2023-05-05,Tarjeta,Pagado,2025-06-17,4.0
O000195,15,2024-06-04,Online,309.02,Bogotá,Mid-Market,2022-01-13,Tarjeta,Pagado,2024-06-06,2.0
O000196,814,2025-02-19,Online,1012.43,Bucaramanga,Mid-Market,2022-05-15,Tarjeta,Pendiente,2025-02-25,6.0
O000197,381,2024-02-20,Fuerza Comercial,183.14,Bucaramanga,SMB,2022-05-22,Tarjeta,Pagado,2024-02-26,6.0
O000198,427,2025-11-11,Online,782.52,Medellín,SMB,2022-01-06,PSE,Pendiente,2025-11-16,5.0
O000199,1190,2024-10-02,Online,271.25,Barranquilla,SMB,2022-05-20,PSE,Pagado,2024-10-10,8.0
O000200,944,2024-09-04,Fuerza Comercial,452.07,Cali,SMB,2025-02-14,Efectivo,Pagado,2024-09-06,2.0
O000201,764,2025-12-19,Fuerza Comercial,648.28,Medellín,SMB,2022-01-21,Tarjeta,Pagado,2025-12-19,0.0
O000202,18,2025-03-19,Fuerza Comercial,236.69,Barranquilla,SMB,2023-06-13,Transferencia,Pagado,2025-03-24,5.0
O000203,487,2024-02-04,Online,196.34,Medellín,SMB,2024-04-02,PSE,Pagado,2024-02-11,7.0
O000204,1106,2025-02-17,Online,119.15,Barranquilla,SMB,2024-05-17,Efectivo,Pagado,2025-02-18,1.0
O000205,264,2025-04-15,Online,530.79,Cali,SMB,2024-05-22,PSE,Pagado,2025-04-21,6.0
O000206,813,2025-11-14,Fuerza Comercial,686.9,Bogotá,SMB,2025-05-24,PSE,Pagado,2025-11-15,1.0
O000207,1097,2025-04-26,Fuerza Comercial,521.15,Cali,Mid-Market,2023-07-10,Efectivo,Pagado,2025-05-01,5.0
O000208,265,2024-07-23,Online,747.7,Medellín,Mid-Market,2025-02-14,Tarjeta,Pagado,2024-07-23,0.0
O000209,856,2024-07-22,Partners,467.05,Medellín,Mid-Market,2025-06-27,PSE,Pagado,2024-07-29,7.0
O000210,932,2025-09-03,Online,598.63,Bucaramanga,Mid-Market,2024-02-21,Tarjeta,Pagado,2025-09-05,2.0
O000211,1015,2024-02-05,Fuerza Comercial,69.85,Barranquilla,SMB,2024-05-05,PSE,Pagado,2024-02-11,6.0
O000212,268,2025-01-24,Fuerza Comercial,446.45,Bucaramanga,Enterprise,2023-02-16,Tarjeta,Pagado,2025-02-01,8.0
O000213,133,2024-04-02,Online,461.27,Medellín,SMB,2022-01-22,,,,
O000214,51,2024-10-28,Partners,394.41,Barranquilla,SMB,2023-08-10,Tarjeta,Pagado,2024-10-29,1.0
O000215,1109,2024-08-26,Fuerza Comercial,964.96,Bogotá,SMB,2022-03-14,Tarjeta,Pagado,2024-09-03,8.0
O000216,1017,2024-01-23,Partners,949.34,Medellín,Mid-Market,2022-07-17,Transferencia,Pagado,2024-01-31,8.0
O000217,630,2024-11-18,Online,681.47,Barranquilla,Mid-Market,2024-12-07,Efectivo,Pagado,2024-11-21,3.0
O000218,606,2024-12-02,Online,1076.33,Bucaramanga,SMB,2024-06-23,Tarjeta,Pagado,2024-12-07,5.0
O000219,796,2025-04-24,Fuerza Comercial,214.78,Medellín,SMB,2024-05-04,Transferencia,Pagado,2025-04-24,0.0
O000220,219,2024-08-26,Online,438.06,Barranquilla,SMB,2023-04-11,Transferencia,Pagado,2024-08-27,1.0
